episode,n_steps,mean_clearing_price,std_clearing_price,min_clearing_price,max_clearing_price,mean_demand_mw,mean_rho,agent_0_total_reward,agent_0_mean_reward,agent_0_std_reward,agent_0_clip_rate,agent_0_mean_action_idx,agent_0_action_entropy,agent_1_total_reward,agent_1_mean_reward,agent_1_std_reward,agent_1_clip_rate,agent_1_mean_action_idx,agent_1_action_entropy
0,335,27.080378555588517,13.878325956958783,-5.69,68.59952277996622,54581.564179104476,0.6915652092181381,81866.21223556006,244.37675294197032,361.8537665963318,0.041791044776119404,27.408955223880596,3.176516557396456,80035.31359580971,238.9113838680887,345.6553793607128,0.020895522388059702,27.116417910447762,3.2402912243053295
1,335,27.342234294052073,14.633572719617003,-5.69,72.30716588571073,54882.692537313436,0.6884564765736323,82355.77037193684,245.83812051324432,354.0478812413034,0.0029850746268656717,25.071641791044776,2.836403089478762,84682.12929333266,252.78247550248557,351.2955932993548,0.0,26.844776119402987,2.9913524651259698
2,335,27.39006915063543,14.62544407261161,-5.69,67.23335717758495,55185.385074626865,0.6877448171135326,84935.57320770738,253.53902450061904,360.6814605687627,0.0,25.46865671641791,2.831669198845901,84401.6193752213,251.94513246334716,358.41913227719095,0.0,26.423880597014925,2.972364185234384
3,335,27.833111314477378,14.066503307240277,-4.210078603738379,67.61598589429278,55438.3223880597,0.6857026147832012,87374.52613971563,260.81948101407653,378.87129553321853,0.0,24.982089552238804,2.8536997437905365,88123.73466387112,263.0559243697645,374.738408889445,0.0,26.453731343283582,2.988476863078896
4,335,28.668244626549278,13.560238804408566,-5.69,71.02826786184572,56408.05373134329,0.6810290420508285,86594.55026830075,258.4911948307485,361.8714782431458,0.0,25.023880597014927,2.8432103117636167,88747.66717323945,264.91840947235653,357.7239408057753,0.0,26.044776119402986,2.988194179956538
5,335,30.660183120584943,14.89427580077298,-4.6537127969566185,83.16031524247516,57018.068656716416,0.664600864346927,108174.04078035589,322.9075844189728,450.8304443060791,0.0,25.31641791044776,2.839944604474649,105787.32921441426,315.7830722818336,396.11171322631935,0.0,26.140298507462685,2.9849323565438075
6,335,32.205615224889755,17.289746916212376,-5.69,123.71784320186951,57611.14029850746,0.6522208052247088,104079.10557647189,310.6838972431997,457.86813279100994,0.0,25.498507462686568,2.867830885481589,115459.29987918366,344.6546265050258,456.38689736401886,0.0,27.322388059701492,2.9960776007766636
7,335,36.949743477057154,26.71783012121149,-4.6112377645449545,181.7353457625869,58055.62985074627,0.6242348152770257,142603.87544718233,425.6832102900965,742.409714013268,0.0,25.38507462686567,2.893109445011426,152228.11502799642,454.41228366566094,669.555030795118,0.0029850746268656717,27.104477611940297,3.0348825629232663
8,335,36.922311513978904,27.23871949771752,-2.9881728823974005,178.1125040104259,57860.03283582089,0.6251903255445969,140113.23394343778,418.2484595326501,746.5721171129397,0.0029850746268656717,25.4955223880597,2.9176540798170647,153348.35014207035,457.75626908080704,669.1902580645283,0.0,26.432835820895523,3.0380323571447283
9,335,36.889140355460334,27.078109293861544,-4.422152138705676,181.1093525133883,57444.7671641791,0.6238743457033176,142396.51078759186,425.0642113062444,733.2627817951195,0.0,25.740298507462686,2.8871172738802393,151642.20137516694,452.6632876870655,674.6435284448704,0.0,26.4955223880597,3.003304081143075
