episode,n_steps,mean_clearing_price,std_clearing_price,min_clearing_price,max_clearing_price,mean_demand_mw,mean_rho,agent_0_total_reward,agent_0_mean_reward,agent_0_std_reward,agent_0_clip_rate,agent_0_action_entropy,agent_0_mean_bid_price,agent_0_mean_bid_qty_mw,agent_1_total_reward,agent_1_mean_reward,agent_1_std_reward,agent_1_clip_rate,agent_1_action_entropy,agent_1_mean_bid_price,agent_1_mean_bid_qty_mw
0,335,27.16539985138108,14.259897208000673,-5.69,71.21670432420301,54581.564179104476,0.6902350178335275,108125.10299701328,322.7615014836217,439.9121062823414,0.026865671641791045,0.7817,31.561399253731345,28.367537313432837,99690.4432090557,297.58341256434534,401.2940323892465,0.026865671641791045,0.8266,38.463921641791046,25.942164179104477
1,335,27.52925153615694,14.321275977208538,-5.019811175746084,75.81429441874121,54882.692537313436,0.6877292367229019,112526.23018647965,335.8991945865064,454.40987891094676,0.0,0.7338,28.943401119402985,28.94589552238806,107946.48841367662,322.2283236229153,400.0404708184009,0.0,0.7826,35.89354664179105,27.565298507462686
2,335,27.71483228506547,14.782827028344503,-5.69,77.87555350886298,55185.385074626865,0.6854475660236558,116037.61592138407,346.3809430489077,463.7998179958127,0.0,0.7393,28.570069029850746,28.46082089552239,108434.85890922541,323.6861459976878,404.8540516561429,0.0,0.7862,36.72859141791045,26.96828358208955
3,335,27.851740965421136,14.538857975024946,-5.69,71.19313438014404,55438.3223880597,0.6845384083516484,120189.80784172098,358.77554579618203,442.9473751328015,0.0,0.7368,26.66602052238806,28.404850746268657,112747.18039634098,336.55874745176413,406.36214680093457,0.0,0.7863,35.019000000000005,26.96828358208955
4,335,28.45379925722075,13.437826047670638,-5.69,70.22217010665523,56408.05373134329,0.6826319171473545,117286.21354715369,350.1081001407573,452.94031386235804,0.0,0.7383,26.719322761194032,28.815298507462686,111554.89698012944,332.99969247799834,407.8706753806861,0.0,0.7872,33.68089925373134,27.098880597014926
5,335,30.25067598581379,14.926364072361647,-5.69,84.78434432444948,57018.068656716416,0.6675903308432312,137034.38749424642,409.05787311715346,518.0256993399755,0.0,0.7382,27.479539179104474,28.55410447761194,127238.66933693396,379.8169233938327,473.0190342595918,0.0,0.7858,34.35399440298508,27.005597014925375
6,335,32.10221468777565,17.285523977224983,-5.69,121.95110748860854,57611.14029850746,0.6524339112750464,155008.94909565034,462.71328088253836,601.0420385513933,0.0,0.7469,25.560402985074628,28.46082089552239,137980.99265985616,411.8835601786751,498.28589115930106,0.0,0.7893,33.614348880597014,26.557835820895523
7,335,37.04348531166619,26.86873292217919,-5.69,176.91587976721289,58055.62985074627,0.6228476759327606,202361.79450378323,604.0650582202485,870.5878012748083,0.0,0.7552,24.265192164179105,28.51679104477612,183622.7852987702,548.1277173097618,761.4474443036569,0.0,0.7934,32.738339552238806,26.81902985074627
8,335,36.24482027167286,26.856704369076343,-2.2826397035073698,182.13151468458614,57860.03283582089,0.6298991544342049,192808.19141935065,575.5468400577631,869.6359393262526,0.0,0.7541,24.991727611940306,27.938432835820894,175011.93226701044,522.4236784089863,766.0188705344586,0.0,0.7942,34.63681343283582,26.744402985074625
9,335,36.315497066460786,26.912591418816962,-5.69,181.06315520736274,57444.7671641791,0.6279483778553561,195098.95835866226,582.3849503243649,870.2505989366929,0.0,0.7488,24.89858768656716,27.975746268656717,177861.32022962597,530.9293141182865,762.1062434856003,0.0,0.7878,33.126975746268656,26.986940298507463
10,335,35.53968651839573,26.329595891279737,-5.69,176.22565935397873,57000.1223880597,0.6360614347862937,186632.42728124204,557.1117232275882,859.8132094472408,0.0,0.7443,22.402712686567167,28.14365671641791,167089.01979008538,498.77319340323993,746.9448048408274,0.0,0.785,30.48474626865672,26.707089552238806
11,335,35.841657504641304,26.440136891193966,-3.9592615025678226,179.24864452700058,56623.85970149254,0.6344988543349122,187045.98023024847,558.3462096425328,854.918924844522,0.0,0.7505,24.247953358208957,27.957089552238806,171055.0997009583,510.6122379133083,760.6694768286859,0.0,0.7901,31.95005597014925,27.061567164179106
12,335,35.630286108481656,26.362552723949804,-5.69,184.2275711090977,56549.149253731346,0.636879941936794,181645.16240656565,542.2243653927333,859.3743752319614,0.0,0.7528,24.00894029850746,27.65858208955224,171135.7243355119,510.8529084642147,753.8233819112976,0.0,0.7918,32.45898320895523,27.28544776119403
13,335,35.461340051215046,26.444295203937912,-2.9292317732776,184.85958803345784,56243.844776119404,0.6367842134875368,180389.29717839102,538.4755139653463,855.1934288102028,0.0,0.7555,23.999710820895523,27.546641791044777,170584.16306289897,509.20645690417604,748.8223338108013,0.0,0.7977,33.1225578358209,27.434701492537314
14,335,35.25296763582435,26.35290829470157,-3.639652231144165,178.18592835349324,55934.429850746266,0.6384350743698627,179019.49204154004,534.3865434075822,845.2906488560411,0.0,0.7592,23.86208582089552,27.565298507462686,170893.20221417514,510.12896183335863,765.7484580583249,0.0,0.7965,33.09253544776119,27.453358208955223
15,335,34.49124760171166,27.11390611695394,-4.678155236888763,172.08303069627516,55549.77611940299,0.6432297924002041,176456.1103931937,526.7346578901304,863.0738794409621,0.0,0.7624,24.159714552238803,27.975746268656717,164086.53323811668,489.8105469794528,762.4188731827505,0.0,0.7984,35.458305970149254,26.875
16,335,34.53033804500548,26.73825088452294,-5.69,185.0201317255829,55254.525373134325,0.6439049446526549,171457.95912283513,511.81480335174666,866.3479554703083,0.0,0.759,25.362779850746268,28.03171641791045,160425.48755784103,478.88205241146574,745.3137677694149,0.0,0.7914,37.646261194029854,27.17350746268657
17,335,35.24907689917794,26.308990492577664,-5.169102642290432,185.15316019351485,55149.03582089552,0.6400258738104311,176121.54435277707,525.7359532918719,865.8760875961121,0.0,0.7595,26.356218283582088,28.06902985074627,165895.73907500086,495.21116141791305,744.8012103478898,0.0,0.7894,39.135375,27.080223880597014
18,335,35.387486405023175,26.251313841504164,-3.722299986016929,174.26724850784353,54105.33432835821,0.6393779263475992,174541.286031614,521.0187642734746,863.4330935306155,0.0,0.7567,26.221735074626867,27.882462686567163,168017.54350751187,501.54490599257275,748.9432868365058,0.0,0.7867,39.12726305970149,26.986940298507463
19,335,33.023893966829405,26.21493127347406,-1.7211790585619609,185.28340662051073,52476.289552238806,0.6580049544643894,153173.25163984613,457.23358698461533,829.4068832527093,0.0,0.752,25.55030410447761,27.863805970149254,145314.18901598168,433.7736985551692,716.1594322351523,0.0,0.7829,38.141804104477615,27.061567164179106
20,335,29.731356984780298,24.72886963072676,-3.633839837883338,180.21030356772582,50884.28358208955,0.6831850354699041,118405.49324718688,353.4492335736922,754.1714325098361,0.0,0.7456,25.458162313432837,27.957089552238806,124374.14860380892,371.2661152352505,693.2228800138287,0.0,0.7806,37.74066604477613,27.416044776119403
