episode,n_steps,mean_clearing_price,std_clearing_price,min_clearing_price,max_clearing_price,mean_demand_mw,mean_rho,agent_RL_Agent_0_total_reward,agent_RL_Agent_0_mean_reward,agent_RL_Agent_0_std_reward,agent_RL_Agent_0_clip_rate,agent_RL_Agent_0_action_entropy,agent_RL_Agent_0_mean_alpha,agent_RL_Agent_0_final_alpha,agent_RL_Agent_0_mean_bid_price,agent_RL_Agent_0_mean_bid_qty_mw,agent_RL_Agent_1_total_reward,agent_RL_Agent_1_mean_reward,agent_RL_Agent_1_std_reward,agent_RL_Agent_1_clip_rate,agent_RL_Agent_1_action_entropy,agent_RL_Agent_1_mean_alpha,agent_RL_Agent_1_final_alpha,agent_RL_Agent_1_mean_bid_price,agent_RL_Agent_1_mean_bid_qty_mw,agent_RL_Agent_2_total_reward,agent_RL_Agent_2_mean_reward,agent_RL_Agent_2_std_reward,agent_RL_Agent_2_clip_rate,agent_RL_Agent_2_action_entropy,agent_RL_Agent_2_mean_alpha,agent_RL_Agent_2_final_alpha,agent_RL_Agent_2_mean_bid_price,agent_RL_Agent_2_mean_bid_qty_mw,agent_RL_Agent_3_total_reward,agent_RL_Agent_3_mean_reward,agent_RL_Agent_3_std_reward,agent_RL_Agent_3_clip_rate,agent_RL_Agent_3_action_entropy,agent_RL_Agent_3_mean_alpha,agent_RL_Agent_3_final_alpha,agent_RL_Agent_3_mean_bid_price,agent_RL_Agent_3_mean_bid_qty_mw,agent_RL_Agent_4_total_reward,agent_RL_Agent_4_mean_reward,agent_RL_Agent_4_std_reward,agent_RL_Agent_4_clip_rate,agent_RL_Agent_4_action_entropy,agent_RL_Agent_4_mean_alpha,agent_RL_Agent_4_final_alpha,agent_RL_Agent_4_mean_bid_price,agent_RL_Agent_4_mean_bid_qty_mw,agent_RL_Agent_5_total_reward,agent_RL_Agent_5_mean_reward,agent_RL_Agent_5_std_reward,agent_RL_Agent_5_clip_rate,agent_RL_Agent_5_action_entropy,agent_RL_Agent_5_mean_alpha,agent_RL_Agent_5_final_alpha,agent_RL_Agent_5_mean_bid_price,agent_RL_Agent_5_mean_bid_qty_mw,agent_RL_Agent_6_total_reward,agent_RL_Agent_6_mean_reward,agent_RL_Agent_6_std_reward,agent_RL_Agent_6_clip_rate,agent_RL_Agent_6_action_entropy,agent_RL_Agent_6_mean_alpha,agent_RL_Agent_6_final_alpha,agent_RL_Agent_6_mean_bid_price,agent_RL_Agent_6_mean_bid_qty_mw
0,335,20.24554546486285,10.253863441101766,0.0,66.2691377643057,54581.564179104476,0.01415493919133321,455902.6508446692,1360.9034353572215,2612.8379228730378,0.07164179104477612,0.8139,0.079016,0.025,44.43292908886449,155.8955223880597,517971.59682885953,1546.183871130924,2125.10222057212,0.026865671641791045,0.7982,0.07439,0.022222,25.487015708969768,197.53731343283582,565021.6758385918,1686.6318681749008,2019.7645901677934,0.03880597014925373,0.7603,0.079479,0.022222,28.905760715266844,215.0,385604.7839544615,1151.059056580482,1847.0336655138433,0.08656716417910448,0.7881,0.087964,0.022222,45.12379512619942,195.1492537313433,426351.6541249994,1272.6915048507444,2091.7338866444684,0.08358208955223881,0.767,0.077494,0.025,46.913538638785425,198.28358208955223,413426.3022924074,1234.1083650519622,2081.3396169297507,0.06865671641791045,0.7963,0.083561,0.022222,43.493592103732446,180.22388059701493,514623.071718116,1536.188273785421,2284.8002807317116,0.011940298507462687,0.789,0.074707,0.022222,30.871814131329444,190.97014925373134
1,335,20.950126837620996,10.641711279615514,0.0,66.54755456130614,54882.692537313436,0.014818501888553147,498307.7619723161,1487.4858566337793,2824.326604953636,0.056716417910447764,0.7695,0.017034,0.01,43.024542427358604,150.67164179104478,585591.3786077412,1748.0339659932574,2268.493647714875,0.0,0.7659,0.016339,0.010526,17.036987457252565,206.6417910447761,607493.8009376968,1813.4143311573039,2022.6979459306594,0.03283582089552239,0.7204,0.016495,0.01,26.8458364210046,210.97014925373134,433600.1239101661,1294.3287280900481,1853.9029514999309,0.05970149253731343,0.7353,0.018059,0.01,35.437390896373216,189.02985074626866,475902.9368011843,1420.6057814960725,2247.9515084772943,0.08656716417910448,0.7172,0.016394,0.010526,46.90204613176687,195.59701492537314,441067.2962673326,1316.6187948278587,2107.595623300274,0.05373134328358209,0.7432,0.017384,0.01,38.56127901299883,179.02985074626866,563144.1517782083,1681.0273187409205,2396.2024624833703,0.0,0.738,0.016111,0.01,27.930090482575142,188.28358208955223
2,335,20.579278921883564,10.813501396074546,0.0,65.92566460033298,55185.385074626865,0.013676205571866962,499491.8695973903,1491.0205062608666,2801.1872579934748,0.056716417910447764,0.7634,0.009283,0.006897,44.93636386100508,150.82089552238807,568879.8987865272,1698.1489516015738,2287.2310420324584,0.0,0.7654,0.009175,0.006667,17.45489417766323,202.61194029850745,586622.9513717116,1751.113287676751,1998.6724545967559,0.03582089552238806,0.72,0.009171,0.006667,28.207698502702797,208.5820895522388,401853.5944538205,1199.5629685188671,1822.3787303852243,0.06865671641791045,0.7195,0.009411,0.006667,38.59279603651892,187.98507462686567,454250.64139943675,1355.9720638789156,2254.9832769690606,0.09850746268656717,0.7066,0.009201,0.006897,51.46850671363589,194.40298507462686,422315.0011742562,1260.6417945500186,2085.010705921629,0.06865671641791045,0.7353,0.009295,0.006667,40.8519141581351,176.6417910447761,540341.0870425515,1612.9584687837357,2388.450589254944,0.0,0.7297,0.00908,0.006667,31.022171302507672,183.0597014925373
3,335,21.108826293599513,10.381509290270166,0.0,66.59973760028728,55438.3223880597,0.01432933765193415,506881.1155969541,1513.0779570058332,2796.858068098241,0.056716417910447764,0.7693,0.006748,0.028571,45.257154709088084,152.01492537313433,581305.4279057295,1735.240083300685,2284.9906119055763,0.0,0.7688,0.006743,0.04,17.334386042369193,201.56716417910448,600641.4592993996,1792.9595799982078,2020.5227025783847,0.03880597014925373,0.7254,0.006676,0.033333,29.043662134618614,206.49253731343285,411362.19336668326,1227.9468458706963,1816.6161884812584,0.06567164179104477,0.7285,0.00749,0.2,37.40929310024998,186.7910447761194,465165.34507208795,1388.5532688719043,2257.0055850640956,0.09850746268656717,0.7125,0.006767,0.05,51.109242394896796,193.3582089552239,446231.1897661896,1332.0334022871332,2090.8595412677582,0.06865671641791045,0.7421,0.006848,0.033333,42.66547884479386,177.23880597014926,554044.9740667793,1653.8655942291919,2403.0161980006055,0.0,0.7364,0.006698,0.033333,29.908427797192633,182.76119402985074
4,335,22.73605583936169,11.035508131195673,0.14707174098632222,87.0554413024807,56408.05373134329,0.015033387041035172,546075.4052836817,1630.0758366677067,2860.4666443185565,0.056716417910447764,0.7731,0.005284,0.011111,45.582402189070976,152.01492537313433,653954.6263320583,1952.1033621852487,2540.6219060686753,0.0,0.7665,0.005281,0.011111,17.260201750708486,199.17910447761193,662602.214125557,1977.917057091215,2103.9109789242557,0.03880597014925373,0.7254,0.005228,0.0125,29.374933143977522,208.88059701492537,492734.69594523223,1470.8498386424842,2483.3008011392435,0.06865671641791045,0.7373,0.006994,0.0125,38.79911816428044,189.47761194029852,547870.3460636672,1635.4338688467678,2676.6636007942207,0.09850746268656717,0.7126,0.006775,0.011111,51.081666443461856,196.7910447761194,522402.39358807367,1559.4101301136527,2503.179777461959,0.06865671641791045,0.7426,0.00538,0.0125,43.916986575672446,178.13432835820896,635540.2630076511,1897.1351134556749,2692.103647767894,0.0,0.7396,0.005269,0.011111,30.070678947738134,184.40298507462686
5,335,23.26403402566708,11.16728333784359,0.14707174098632222,87.99560353773421,57018.068656716416,0.014927654843688682,554845.5615130006,1656.2554075014943,2790.328019614715,0.056716417910447764,0.7692,0.004429,0.025,46.638075174189616,148.43283582089552,689570.7365351942,2058.4201090602814,2613.4643233741485,0.0,0.7557,0.004453,0.028571,17.379876614257146,197.53731343283582,703761.4063007333,2100.7803173156217,2260.239552075977,0.04776119402985075,0.7178,0.0044,0.025,32.496920765599825,210.97014925373134,490765.6061212584,1464.9719585709206,2483.6568750224324,0.07462686567164178,0.7388,0.00503,0.028571,41.37856789582534,188.13432835820896,571263.1160657238,1705.2630330320114,2722.952492023207,0.10746268656716418,0.716,0.004865,0.025,54.09305709788113,195.29850746268656,558894.8745363838,1668.3429090638322,2633.081910623087,0.07164179104477612,0.7433,0.004524,0.028571,45.51114951204304,180.22388059701493,680638.5326869115,2031.7568139907808,2783.0053697419435,0.0,0.737,0.004451,0.028571,31.451348131585437,186.49253731343285
6,335,24.83644252762792,13.922830302221724,0.14707174098632222,126.05508593563391,57611.14029850746,0.014920700468965022,650191.1569987189,1940.86912536931,3800.494252070728,0.05373134328358209,0.7702,0.004282,0.002632,45.02640053385987,148.73134328358208,792262.5489223863,2364.962832604138,3335.826786273471,0.0,0.7516,0.004281,0.002667,16.931582191825328,196.34328358208955,804894.8496791827,2402.671193072187,2644.973859172924,0.04477611940298507,0.7185,0.004257,0.002632,31.734828045849486,213.80597014925374,521917.84271855414,1557.9637096076242,2630.7549354201633,0.07164179104477612,0.7399,0.004517,0.002632,40.596208043190074,183.50746268656715,683244.3139541433,2039.5352655347563,3291.1544904954694,0.1044776119402985,0.7183,0.004425,0.002667,53.16799404330592,197.6865671641791,637760.8941685063,1903.7638631895709,3005.422494812074,0.06567164179104477,0.7466,0.004331,0.002632,42.887430955398045,178.5820895522388,774782.4033740952,2312.783293654016,3111.437624214691,0.0029850746268656717,0.7369,0.004281,0.002632,31.573569023014684,186.044776119403
7,335,25.1881074118244,14.479396060444177,0.14707174098632222,125.92691576090068,58055.62985074627,0.014535210481499184,663559.6369793264,1980.7750357591833,4001.9579069459837,0.050746268656716415,0.7733,0.004811,0.011765,43.54388734649885,151.71641791044777,813951.5189136785,2429.706026607995,3499.59658710011,0.0,0.7499,0.004799,0.0125,17.010475840785293,202.16417910447763,802351.7736123148,2395.0799212307907,2644.370765783196,0.050746268656716415,0.7176,0.004779,0.011765,33.76460869861912,211.4179104477612,516766.35110431863,1542.5861226994587,2545.045546904029,0.06567164179104477,0.7405,0.004935,0.0125,38.709592718804956,177.83582089552237,674490.85848593,2013.4055477191941,3404.2834691411854,0.09850746268656717,0.7254,0.004865,0.011765,51.403676150042436,192.76119402985074,649648.2711409009,1939.2485705698534,3067.793188162018,0.05970149253731343,0.7461,0.004832,0.0125,41.153226376579234,172.01492537313433,776039.6263173618,2316.536197962274,3170.2144965158677,0.01791044776119403,0.7408,0.004798,0.0125,35.59611255619827,185.1492537313433
8,335,24.662131684509593,14.5519291187466,0.14707174098632222,126.03541933287804,57860.03283582089,0.014133539910284258,649375.0180092417,1938.4328895798258,4019.833564705811,0.04477611940298507,0.7751,0.003459,0.002062,41.77012041158892,150.82089552238807,785080.4916044637,2343.5238555357123,3516.4202659734215,0.0,0.7558,0.003452,0.002041,17.17668972559304,199.77611940298507,740302.9074874274,2209.859425335604,2594.053793560257,0.05373134328358209,0.7202,0.003442,0.002041,34.66611774597235,209.17910447761193,489760.94825885596,1461.972979877182,2542.328181571736,0.05970149253731343,0.7475,0.003544,0.002041,36.67879683200239,174.70149253731344,646657.7403077025,1930.3216128588133,3341.990107902733,0.08955223880597014,0.7312,0.003495,0.002062,48.376441779299896,194.55223880597015,621884.3023242686,1856.3710517142347,2965.5550481109476,0.0626865671641791,0.7491,0.003477,0.002041,42.251494422581544,174.40298507462686,737736.912163326,2202.1997378009733,3072.4853163821367,0.01791044776119403,0.7394,0.003452,0.002041,33.41687732296247,186.9402985074627
9,335,24.225572716211758,14.677951448330067,0.07740617946648536,126.49484833655154,57444.7671641791,0.013999327676373092,658240.6200512002,1964.8973732871646,4030.4958939502153,0.03283582089552239,0.7744,0.002879,0.001852,37.92810657397896,152.46268656716418,760719.4233670156,2270.804248856763,3511.6785209731493,0.0,0.7546,0.002882,0.001869,17.40729370972676,197.53731343283582,723761.4199815448,2160.481850691179,2550.7682526786857,0.056716417910447764,0.7173,0.002873,0.001852,35.48725578388811,209.77611940298507,505184.50585256267,1508.0134503061572,2572.694695180058,0.05970149253731343,0.7417,0.002954,0.001852,36.15912409191554,174.8507462686567,620515.5881717894,1852.285337826237,3299.5654861112957,0.07761194029850746,0.7339,0.002911,0.001869,44.65742433905897,199.47761194029852,576683.1567880055,1721.4422590686731,2880.957800311264,0.06567164179104477,0.7456,0.002899,0.001852,42.91994443906424,171.11940298507463,701331.5561372282,2093.527033245457,2985.055814694775,0.01791044776119403,0.7381,0.002883,0.001852,32.238785598530484,190.37313432835822
