episode,agent_0_rolling_reward_var,agent_1_rolling_reward_var,agent_0_entropy,agent_1_entropy
0,,,0.7817,0.8266
1,9684960.268930025,34081141.21037208,0.7338,0.7826
2,15717935.182580817,24144265.683173575,0.7393,0.7862
3,26319652.858885247,29748895.01646139,0.7368,0.7863
4,21620453.913546577,26096439.65871986,0.7383,0.7872
5,99446674.58110008,82086301.81331351,0.7382,0.7858
6,272940564.7003458,170340048.1230034,0.7469,0.7893
7,1006542894.8147383,733187855.7127893,0.7552,0.7934
8,1270615446.7726245,934632550.9997549,0.7541,0.7942
9,1431340207.8952076,1066034963.3091444,0.7488,0.7878
10,1440910351.641103,1057713152.8146551,0.7443,0.785
11,1428185809.2852554,1057082376.9552563,0.7505,0.7901
12,1374453751.5442083,1043470720.3475199,0.7528,0.7918
13,1315667476.3271804,1019890359.3412721,0.7555,0.7977
14,1146124598.4378517,891984042.1383182,0.7592,0.7965
15,954915902.301833,758114586.0479522,0.7624,0.7984
16,746477230.2456186,590562348.9125974,0.759,0.7914
17,539824132.8210849,428569717.9550349,0.7595,0.7894
18,272926462.38872486,226508020.24507856,0.7567,0.7867
19,189175068.70307544,144658498.9824167,0.752,0.7829
20,422293863.0036056,217280815.6571218,0.7456,0.7806
21,1077620210.1319144,602851816.0993723,0.7356,0.7721
22,1713681199.6740432,982386279.3397874,0.7154,0.75
23,2302957234.2133374,1397845253.2247565,0.7159,0.7483
24,2783451707.891762,1756465390.5407393,0.7172,0.7406
25,3081610864.02417,2004355079.1721637,0.7109,0.7368
26,3261103391.36575,2185561722.3476315,0.7113,0.7334
27,3302740064.557078,2257130305.837925,0.7084,0.7346
28,3150457535.0568943,2153418545.6240587,0.7025,0.7229
29,2856290200.8824058,1993164384.5255656,0.7064,0.7323
30,2398948760.516217,1736101840.457326,0.7104,0.7357
31,1726415225.8778534,1318592565.6527755,0.7239,0.7517
32,933839480.3438377,741282491.6315682,0.7276,0.7521
33,330024802.78979355,336552528.1929198,0.7306,0.753
34,64110809.082967915,86469935.72597115,0.7354,0.7553
35,49700046.224932835,43892731.81081287,0.7386,0.7573
36,619063841.5219626,203710351.65364873,0.742,0.761
37,1531225628.942457,671593812.3853784,0.7544,0.7822
38,2544228122.871739,1349191835.1125515,0.7582,0.7924
39,3454493940.040088,1902964246.472225,0.7655,0.7955
40,4136681745.2633567,2329071996.8277645,0.7659,0.7942
41,4608484340.212226,2638438478.244158,0.7608,0.7933
42,4829348988.697403,2797324305.271916,0.757,0.7938
43,4765030390.785593,2795360709.654315,0.747,0.7827
44,4551893714.009864,2723495113.928718,0.747,0.7824
45,4125005536.591035,2479252949.0903125,0.7384,0.7687
46,3427259771.211469,2122620835.8169894,0.7333,0.7709
47,2552268322.481285,1663801277.7125392,0.7307,0.7668
48,1503515353.8114383,1072802953.7664447,0.7302,0.7706
49,328218898.4017773,358695202.96698415,0.7281,0.7693
50,348096458.3515437,160723937.81187403,0.723,0.7683
51,721424802.1855317,300832418.04200053,0.7228,0.7608
52,1224524292.915213,530330919.98271155,0.7247,0.7587
53,1731573248.8225887,756954081.3576279,0.7251,0.7607
54,2009844208.6632586,829401725.7234446,0.7237,0.7533
55,2258069179.1515737,917937670.1636335,0.7328,0.7608
56,2342283506.491609,944502054.060808,0.7358,0.7629
57,2285243276.097732,939485103.0039766,0.738,0.7698
