episode,agent_RL_Agent_0_rolling_reward_var,agent_RL_Agent_0_entropy,agent_RL_Agent_1_rolling_reward_var,agent_RL_Agent_1_entropy,agent_RL_Agent_2_rolling_reward_var,agent_RL_Agent_2_entropy,agent_RL_Agent_3_rolling_reward_var,agent_RL_Agent_3_entropy,agent_RL_Agent_4_rolling_reward_var,agent_RL_Agent_4_entropy,agent_RL_Agent_5_rolling_reward_var,agent_RL_Agent_5_entropy,agent_RL_Agent_6_rolling_reward_var,agent_RL_Agent_6_entropy
0,,0.8139,,0.7982,,0.7603,,0.7881,,0.767,,0.7963,,0.789
1,899096724.8740404,0.7695,2286217443.911785,0.7659,901940705.217015,0.7204,1151776328.7318246,0.7353,1227664807.4275908,0.7172,382012273.960927,0.7432,1177147605.098943,0.738
2,616602592.0147355,0.7634,1240560608.9752464,0.7654,451014812.7829629,0.72,595903105.4383911,0.7195,617084166.9931562,0.7066,199113681.16530877,0.7353,589281880.6273899,0.7297
3,535543564.1169615,0.7693,968941746.6697661,0.7688,351527583.4116016,0.7254,401983481.7001346,0.7285,453619519.94146556,0.7125,239124383.49931923,0.7421,446697435.2624032,0.7364
4,1027280715.0563482,0.7731,2365391710.562793,0.7665,1319460658.2321072,0.7254,1733918810.8755276,0.7373,2049715050.8085508,0.7126,1859010877.206007,0.7426,2046344925.8817415,0.7396
5,1299112385.685312,0.7692,3837398950.3108573,0.7557,2698486600.2970915,0.7178,2107306406.1097617,0.7388,3219435817.7683244,0.716,3496784336.498192,0.7433,4001203920.33134,0.737
6,3880211342.9151225,0.7702,8503520776.688064,0.7516,7078527337.054097,0.7185,2810965591.524521,0.7399,8010233297.345647,0.7183,7060616758.280448,0.7466,8677355489.010782,0.7369
7,5547587232.163611,0.7733,11654011416.2848,0.7499,9072782067.235888,0.7176,2995993000.9206,0.7405,9938005243.046724,0.7254,9169297717.912653,0.7461,10924829929.39697,0.7408
8,6020773968.60257,0.7751,12211609779.537489,0.7558,8541045466.377302,0.7202,2742019869.2248507,0.7475,10024122331.163715,0.7312,9377768665.062677,0.7491,10851452501.225096,0.7394
9,6350766913.384578,0.7744,11763410804.12359,0.7546,7831226337.71412,0.7173,2637154444.9925213,0.7417,9415130697.696281,0.7339,8616126832.548859,0.7456,9999222594.350098,0.7381
10,6529155403.83579,0.7726,11418124914.06339,0.7528,7103408576.418368,0.7166,2585843923.9557486,0.7388,8982222860.738405,0.7299,8023920386.88945,0.7447,9168882046.448988,0.7354
11,6632080686.85051,0.7779,11092466199.42459,0.7567,6508715171.192773,0.7224,2503276940.4562263,0.7492,8874442369.536457,0.7357,7539250322.835288,0.7505,8721743100.16252,0.7414
12,6629575817.905014,0.7852,10504652804.440207,0.7617,6047851572.369946,0.7289,2388284583.456872,0.7562,8826497485.45994,0.7405,7161952906.862786,0.7604,8397851039.362876,0.7543
13,6457028888.944138,0.7862,9863207711.1186,0.7613,5610346395.441461,0.7301,2235861107.4546266,0.756,8546612392.419305,0.7384,6820769186.581282,0.7612,7954704520.77364,0.7548
14,4989994945.112046,0.7865,7130851640.878134,0.7585,4375374985.227728,0.7317,1542748484.2317452,0.7568,6626550851.495144,0.7396,5449046258.072541,0.7636,6060676282.260014,0.7579
15,3972992326.2510757,0.7836,5928246707.566435,0.7534,3937666313.4246416,0.7321,1542759571.648675,0.7555,5468496878.8767185,0.744,4289130447.9513807,0.7655,5208769469.707633,0.7569
16,2790666541.800208,0.7847,4150403733.0859327,0.7521,3048638862.3450036,0.7312,1010765018.0427096,0.7582,3608377052.9285116,0.7452,2583294029.180173,0.7651,3773560788.9212675,0.7551
17,1534646714.641467,0.7848,2495990996.1775103,0.7562,2508065596.068336,0.7327,608086390.6129843,0.7591,1817335262.0030649,0.7401,1030700752.8953515,0.7651,2630771149.236798,0.7584
18,952762678.696816,0.7873,3039446045.680764,0.7581,3456414074.301877,0.7311,1378427759.6559947,0.7583,2050749566.9474225,0.7396,861267226.734632,0.7621,4218212616.2654066,0.7606
19,1140242561.2753391,0.7862,5929662774.339642,0.7624,5856675480.709403,0.7357,2748323036.6520243,0.7567,3428399293.232214,0.7428,2152389392.271265,0.7644,7586364785.067167,0.7623
20,5760056210.5830345,0.7858,13429703065.32241,0.7637,10951209349.899006,0.7369,5309808803.518296,0.754,8628265081.624432,0.7425,6256426248.909135,0.7613,13265360957.155457,0.7625
21,12102186071.551989,0.7769,21802672201.020348,0.7578,16005911845.904144,0.7285,7472828122.736074,0.7414,14455263853.269869,0.7333,10784629016.920797,0.7487,18158347462.02302,0.7472
22,18722823241.99888,0.7699,29254357308.208122,0.7423,20162548488.734226,0.7166,9979514269.968174,0.7318,19300128777.6536,0.727,14089925264.947254,0.7351,22039391751.352642,0.7421
23,24125913232.882175,0.7705,35056727188.85942,0.7417,23229604882.076885,0.7197,11541572277.234688,0.7317,22596868718.57946,0.7239,16609168235.992601,0.7344,24398202259.15135,0.7404
24,28245764582.48953,0.7697,38389560897.49538,0.7379,25835432794.69255,0.7155,12278856434.558529,0.7315,24980643771.199116,0.7255,18775470577.87689,0.731,26230826473.525063,0.7384
25,30287785712.875877,0.7644,39441368109.67823,0.7372,27384096029.07538,0.7156,12021034282.3761,0.7281,26160193489.979393,0.7223,20079371446.275566,0.7264,26027552640.233356,0.7372
26,30559199677.89251,0.7613,38065271572.44938,0.7385,27011811254.352566,0.7219,11065552927.043772,0.7284,24948381456.41013,0.7237,20710205740.386925,0.7242,24523500742.550396,0.7397
27,29720532075.09701,0.7621,35187621419.3097,0.735,25592450258.936497,0.7224,9630989784.737474,0.7289,22700190481.64664,0.7267,20589727693.919918,0.7252,21936339363.432594,0.7438
28,27555389247.025284,0.7585,31238904576.673122,0.7323,22743066078.413242,0.7205,7877769357.309531,0.7272,19208854836.42823,0.7258,18806173983.68046,0.7177,17922160480.42446,0.7382
29,23690791619.673367,0.7561,26409752284.064934,0.7317,18866335388.37996,0.7164,6648521951.093297,0.7252,16304590083.533722,0.7224,15995985051.734972,0.7156,14541020821.306746,0.7352
30,18124049567.7533,0.7653,19402683325.440598,0.7452,13369542440.570534,0.7272,4286258411.192848,0.7351,11928120972.754148,0.7276,11125281319.009127,0.7275,9989892440.360289,0.7497
31,11609825813.897785,0.7716,10810299827.068533,0.7486,7757234120.072292,0.7262,1887291618.2490904,0.7407,6649386949.85088,0.7307,5895337928.983555,0.7285,4779901808.914974,0.7531
32,5579758293.592433,0.7741,4678225674.738171,0.7453,3972366677.8400292,0.7228,854196584.3314023,0.7395,3034200551.4025908,0.7302,2369456526.016693,0.728,2028335439.657934,0.7514
33,1325579134.0741925,0.7763,1392656579.7510107,0.7474,2143425106.6868844,0.7136,388125739.8909859,0.7382,634987669.2732856,0.7289,961886540.8888814,0.7263,722076131.6596589,0.7521
34,749955630.4881963,0.7773,1255186687.5821543,0.7466,2349152868.6361036,0.7063,396424715.98524517,0.7378,540192118.4789995,0.7307,1037151124.1743182,0.7241,734060292.0598704,0.7498
35,1317739418.1682093,0.7772,2279982013.924418,0.7462,4323298383.429866,0.7024,990911097.3571534,0.7398,1171184078.7234616,0.7265,2341358958.9172964,0.7231,1487793543.357308,0.751
36,20261242377.945015,0.7791,16834423716.790842,0.7495,15422848893.933702,0.7064,6071852876.75235,0.7445,10358375323.659025,0.7277,15805431154.705698,0.7272,9399321489.094646,0.75
