episode,delta_q,profit,profit_variance,risk_adjusted_variance,steps
1,1718.347672456839,76918.76678363621,99040.10538901843,1.2875935162558465,335
2,1874.099856971791,94929.23204302062,121604.19405589337,1.2809983967927943,335
3,1902.5656485061065,104964.853368375,117922.62994857773,1.1234487179695862,335
4,1750.219357363771,102264.234320608,118130.71624694596,1.1551518185388598,335
5,1717.084778234424,100804.04999633526,121183.96071414076,1.2021735309100616,335
6,1779.6132164991648,105056.86125149077,136947.46484799506,1.30355564802331,335
7,1673.2469307818903,96486.2985692593,118367.30130051868,1.226778341129343,335
8,1713.6421802003103,102783.83148896317,128465.92024665457,1.2498650652115126,335
9,1642.4658775487944,101393.80696134343,128490.35057880185,1.2672406178394737,335
10,1736.755838126168,106180.16671451778,134100.88750949252,1.2629560835973388,335
11,1614.9397339050595,102172.91078782413,119951.9842009174,1.174009659468371,335
12,1666.59468859355,104623.55578422085,123195.56198345711,1.1775126649062475,335
13,1738.2978957008706,108948.20895340477,125416.63503953864,1.1511583002999675,335
14,1750.0857715731754,113653.45397756746,115111.9786828079,1.0128330873738178,335
15,1658.6627914261132,108754.83659726576,124021.71388650846,1.1403788352491087,335
16,1737.434198135216,112357.37537163895,121632.07966777968,1.0825464662684796,335
17,1873.4018255845053,109598.59711983596,125560.53749350779,1.1456400062877399,335
18,1690.211424788084,111066.52644953615,129289.2730275582,1.1640705544734042,335
19,1552.9960541090493,103545.65183865667,117167.80655199285,1.1315569941512436,335
20,1579.749727759973,95434.53483478108,101497.87711443243,1.0635340476080042,335
21,1643.4068238844718,94082.09180163962,107819.45724521001,1.1460146684718964,335
22,1571.7424067543393,95677.98939333195,98748.16703499053,1.0320886513305245,335
23,1286.3930014613295,88247.7592451659,81115.14607547788,0.9191751356554935,335
24,1503.826265223061,91252.86714616559,86802.41348293795,0.9512294374695255,335
25,1347.773165272852,87127.71073096091,90520.46692200788,1.038940035983649,335
26,1173.8487726122412,84696.10135107486,78459.0696615599,0.9263598726502059,335
27,1263.8955889520548,85039.8716893341,84331.13056614481,0.9916657785445825,335
28,1026.8470440506535,80787.91278776426,83162.64988925974,1.0293947079400825,335
29,915.4111322966604,76162.49937272043,76355.663016209,1.0025362041039811,335
30,1331.0721341744782,74355.43793689209,73090.53876251719,0.9829884779179393,335
31,1066.0719147845768,75618.61456980873,83473.70603298802,1.103877748988864,335
32,932.7108517353222,78629.13839289409,82772.99106265046,1.0527012346115232,335
33,818.5575732007659,75539.45043525587,85652.11577361512,1.1338726358224618,335
34,1578.2889577385376,86442.64328747956,109645.26267978948,1.2684163569030742,335
35,1484.381953918753,91316.09314573911,102554.96306165728,1.1230765523221615,335
36,1372.2497431250817,85707.06210615922,103401.82082226574,1.206456250876704,335
37,1292.3398421343904,84820.9590350913,103035.71083546894,1.2147435257461527,335
38,1026.6254250410084,87452.75190093502,119085.34437596831,1.361710658469073,335
39,1584.9408509378118,87097.75666905608,113837.34204062854,1.3070065911474777,335
40,1403.3083744019648,95746.51064434093,120382.67864798263,1.2573061706148478,335
41,1175.0445663104879,100914.8521775518,121029.78425090056,1.1993257844538692,335
42,1669.1569624364147,101302.62376687431,110348.90356325007,1.0892995606627416,335
43,1426.7940801019392,107364.24793703268,123033.9904662468,1.145949353069494,335
44,1827.1901631574885,106319.9854483819,119414.47392321016,1.1231611198928761,335
45,1640.5210882279669,109727.84899354953,106208.7308732377,0.9679286694070857,335
46,1732.5711140079186,110097.904944634,114194.10062532287,1.0372050284039318,335
47,1706.9972723138105,111688.82035220698,108258.85367096822,0.9692899730659509,335
48,1484.9771699115545,95516.70723580272,83791.70824946706,0.8772466165798738,335
49,1505.6686347908428,88637.74099946694,70492.49700613823,0.7952876078662047,335
50,1454.62353885925,93578.75448227687,72584.13286427762,0.7756475630162054,335
51,1716.4435088622513,90475.81901764082,87927.21750521233,0.9718311307915181,335
52,968.4771658886714,89536.21297914212,87821.9615062895,0.9808540989637147,335
53,729.8419724904181,84401.61520249225,76103.58642981989,0.901684005065861,335
54,885.1057300810904,81679.57053642077,76092.55800495297,0.9315984095559626,335
55,1108.5859484368777,76056.14919160923,66379.72334917232,0.8727726035922789,335
56,976.0363483583042,73490.99955446212,67532.77329069797,0.9189257691432287,335
57,915.985263172294,72686.69274019483,67144.61145340092,0.9237538388682466,335
58,1873.5391488282535,71662.84683952478,69631.1147603753,0.9716487389384787,335
59,1569.3443452154193,72348.30324000714,68198.32889627069,0.942638954088822,335
60,1104.0390437881713,67214.2815603372,67389.55060468889,1.00260761612373,335
61,1541.0326044610051,72720.43576506677,74203.98733322111,1.0204007519005656,335
62,630.1480929922908,71938.75475496089,78654.81130184328,1.0933579760971373,335
63,1712.144638424435,70205.0672393105,92229.82563431602,1.3137203518360834,335
64,1934.2307569768445,76040.67764359177,87796.8618896887,1.154603885846303,335
65,1974.9895227510326,90957.30393468295,124961.0421590496,1.3738428554211681,335
66,2601.381869203019,134246.00970382872,528419.3035184138,3.936201192751756,335
67,16754.700151637346,489967.45214183937,26936272.840739146,54.97563710199445,335
68,84964.97301590184,2093205.471326277,402944249.4542056,192.50104921562905,335
69,237618.7600142676,5700028.035649058,2200456632.039071,386.04312439815965,335
70,423023.20288109436,10346706.703163704,4836892071.707135,467.4813165650244,335
71,584417.7878124935,15243043.925669998,7100214125.440397,465.8002797907904,335
72,760603.0982277464,20609145.274958782,9854404623.288261,478.15688092906436,335
73,883981.8192342843,25234129.748484716,11689864927.351978,463.25611558107875,335
74,837633.5590489467,26080129.974358957,11603246741.776344,444.9075504295505,335
75,821229.4634883871,26077858.932192538,11605055170.016111,445.01564335444436,335
76,724037.8712770658,26082740.24332415,11606344463.032959,444.9817908225186,335
77,673091.0558656434,26069123.82060262,11606034479.046741,445.2023228289093,335
78,757498.0915138772,26065354.571645923,11612000513.73433,445.49559001073175,335
79,708715.0271082083,26051262.38151907,11622044984.797113,446.1221423589,335
80,687669.3742117314,26006250.556047946,11637025820.038603,447.4703415995629,335
81,598961.106940895,25611920.944109075,11786867532.135832,460.21021062252225,335
82,559411.0756817387,23943166.869089775,12080862860.006699,504.5641174394054,335
83,420501.40813498676,20237818.82335832,11392347050.953934,562.9236604196187,335
84,263671.1709770662,15674995.941144362,9623582698.803122,613.9448287538467,335
85,140842.25574700677,10617470.960575677,7227030171.47004,680.6734106742672,335
86,185705.18207614083,5291392.525957481,3581583418.8771367,676.8697278282223,335
87,310529.2854317869,883192.6689474104,296345907.6615727,335.53936539662925,335
88,354882.89729684294,68832.97822090288,94944.83949173216,1.3793510312312183,335
89,54146.98322030695,72849.81216796534,93773.2460113707,1.287213284711711,335
90,48375.41483026088,72120.55582053155,89971.50567980554,1.2475154226997742,335
91,44391.850521975844,63478.522327385814,92863.20903621176,1.4629075415029662,335
92,38216.34759889894,61471.47331377146,90397.42516171308,1.4705589485431552,335
93,33836.04016099858,58789.201263055336,94081.86715093258,1.6003256572570594,335
94,30204.599591674305,53089.72179595557,92544.4493410908,1.743170734568127,335
95,26970.58750683361,50187.527419172846,84158.3825912963,1.6768784381102824,335
96,30887.085610553728,46662.01830591525,84867.33276381795,1.8187668653209823,335
97,42892.53227651959,43035.10499558095,79246.49882267854,1.8414384914547677,335
98,39117.83249840092,33782.67461113356,70855.00750008666,2.0973770820595248,335
99,27643.666749541506,25542.6354763809,56777.88161262772,2.222867004663932,335
100,22071.372414782305,22112.475932685007,62654.950516779565,2.8334660807539587,335
