source,target,agent_id,from_policy_id,to_policy_id,gain_mean,gain_lcb,decision_rule,epsilon
a0:learned_agent_0|a1:learned_agent_1,a0:cost_plus_agent_0|a1:learned_agent_1,0,learned_agent_0,cost_plus_agent_0,90927.62958273996,90574.59355478286,conservative,0.0
a0:learned_agent_0|a1:learned_agent_1,a0:hist_quantile_agent_0|a1:learned_agent_1,0,learned_agent_0,hist_quantile_agent_0,21855.499006149472,21574.599683082077,conservative,0.0
a0:learned_agent_0|a1:learned_agent_1,a0:learned_agent_0__price_down_1|a1:learned_agent_1,0,learned_agent_0,learned_agent_0__price_down_1,14435.49755303543,14250.551219581885,conservative,0.0
a0:learned_agent_0|a1:learned_agent_1,a0:learned_agent_0__quantity_up_1|a1:learned_agent_1,0,learned_agent_0,learned_agent_0__quantity_up_1,14016.110301020166,13990.625890491694,conservative,0.0
a0:learned_agent_0|a1:learned_agent_1,a0:learned_agent_0|a1:cost_plus_agent_1,1,learned_agent_1,cost_plus_agent_1,99138.0397393265,98866.12691110217,conservative,0.0
a0:learned_agent_0|a1:learned_agent_1,a0:learned_agent_0|a1:hist_quantile_agent_1,1,learned_agent_1,hist_quantile_agent_1,30056.762254360947,29804.91180769202,conservative,0.0
a0:learned_agent_0|a1:learned_agent_1,a0:learned_agent_0|a1:learned_agent_1__price_down_1,1,learned_agent_1,learned_agent_1__price_down_1,8339.145603545743,8252.966265105064,conservative,0.0
a0:learned_agent_0|a1:learned_agent_1,a0:learned_agent_0|a1:learned_agent_1__quantity_up_1,1,learned_agent_1,learned_agent_1__quantity_up_1,13498.121372267353,13474.898307640275,conservative,0.0
a0:learned_agent_0|a1:cost_plus_agent_1,a0:cost_plus_agent_0|a1:cost_plus_agent_1,0,learned_agent_0,cost_plus_agent_0,90899.59843464402,90544.46404345249,conservative,0.0
a0:learned_agent_0|a1:cost_plus_agent_1,a0:hist_quantile_agent_0|a1:cost_plus_agent_1,0,learned_agent_0,hist_quantile_agent_0,21825.773677343568,21548.449554984283,conservative,0.0
a0:learned_agent_0|a1:cost_plus_agent_1,a0:learned_agent_0__price_down_1|a1:cost_plus_agent_1,0,learned_agent_0,learned_agent_0__price_down_1,14450.51519078995,14266.668882130467,conservative,0.0
a0:learned_agent_0|a1:cost_plus_agent_1,a0:learned_agent_0__quantity_up_1|a1:cost_plus_agent_1,0,learned_agent_0,learned_agent_0__quantity_up_1,14006.879318831541,13979.948750823183,conservative,0.0
a0:learned_agent_0|a1:hist_quantile_agent_1,a0:cost_plus_agent_0|a1:hist_quantile_agent_1,0,learned_agent_0,cost_plus_agent_0,90912.16595589739,90556.31655303412,conservative,0.0
a0:learned_agent_0|a1:hist_quantile_agent_1,a0:hist_quantile_agent_0|a1:hist_quantile_agent_1,0,learned_agent_0,hist_quantile_agent_0,22087.251774680128,21798.341135719347,conservative,0.0
a0:learned_agent_0|a1:hist_quantile_agent_1,a0:learned_agent_0__price_down_1|a1:hist_quantile_agent_1,0,learned_agent_0,learned_agent_0__price_down_1,14439.72528689965,14252.92159549823,conservative,0.0
a0:learned_agent_0|a1:hist_quantile_agent_1,a0:learned_agent_0__quantity_up_1|a1:hist_quantile_agent_1,0,learned_agent_0,learned_agent_0__quantity_up_1,14011.338391255831,13983.986034811269,conservative,0.0
a0:learned_agent_0|a1:hist_quantile_agent_1,a0:learned_agent_0|a1:cost_plus_agent_1,1,hist_quantile_agent_1,cost_plus_agent_1,69081.27748496555,68866.59989229744,conservative,0.0
a0:learned_agent_0|a1:learned_agent_1__price_up_1,a0:cost_plus_agent_0|a1:learned_agent_1__price_up_1,0,learned_agent_0,cost_plus_agent_0,90864.6754388577,90509.72386138908,conservative,0.0
a0:learned_agent_0|a1:learned_agent_1__price_up_1,a0:hist_quantile_agent_0|a1:learned_agent_1__price_up_1,0,learned_agent_0,hist_quantile_agent_0,21805.400610802368,21523.8196982703,conservative,0.0
a0:learned_agent_0|a1:learned_agent_1__price_up_1,a0:learned_agent_0__price_down_1|a1:learned_agent_1__price_up_1,0,learned_agent_0,learned_agent_0__price_down_1,14419.126823228782,14234.180489775334,conservative,0.0
a0:learned_agent_0|a1:learned_agent_1__price_up_1,a0:learned_agent_0__quantity_up_1|a1:learned_agent_1__price_up_1,0,learned_agent_0,learned_agent_0__quantity_up_1,13972.54525455216,13946.258565033786,conservative,0.0
a0:learned_agent_0|a1:learned_agent_1__price_up_1,a0:learned_agent_0|a1:learned_agent_1,1,learned_agent_1__price_up_1,learned_agent_1,12529.200232535242,12387.339499769223,conservative,0.0
a0:learned_agent_0|a1:learned_agent_1__price_up_1,a0:learned_agent_0|a1:cost_plus_agent_1,1,learned_agent_1__price_up_1,cost_plus_agent_1,111667.23997186174,111434.87959427868,conservative,0.0
a0:learned_agent_0|a1:learned_agent_1__price_up_1,a0:learned_agent_0|a1:hist_quantile_agent_1,1,learned_agent_1__price_up_1,hist_quantile_agent_1,42585.96248689619,42349.64482760081,conservative,0.0
a0:learned_agent_0|a1:learned_agent_1__price_up_1,a0:learned_agent_0|a1:learned_agent_1__price_down_1,1,learned_agent_1__price_up_1,learned_agent_1__price_down_1,20868.345836080985,20757.505857940003,conservative,0.0
a0:learned_agent_0|a1:learned_agent_1__price_up_1,a0:learned_agent_0|a1:learned_agent_1__quantity_up_1,1,learned_agent_1__price_up_1,learned_agent_1__quantity_up_1,26027.321604802593,25872.52553599144,conservative,0.0
