profile_id,agent_id,mean_payoff,std_err,ci_low,ci_high,n_rollouts
a0:learned_agent_0|a1:learned_agent_1,0,59242.334345676245,76.54165278111286,59092.31270622526,59392.35598512723,16
a0:learned_agent_0|a1:learned_agent_1,1,51010.73592035965,42.699346359570455,50927.04520149489,51094.42663922441,16
a0:learned_agent_0|a1:cost_plus_agent_1,0,59191.77192863697,77.94170068045015,59039.006195303285,59344.53766197065,16
a0:learned_agent_0|a1:cost_plus_agent_1,1,150148.77565968616,123.72455022526016,149906.27554124466,150391.27577812766,16
a0:learned_agent_0|a1:hist_quantile_agent_1,0,59223.637147690795,79.2124841015868,59068.38067885169,59378.8936165299,16
a0:learned_agent_0|a1:hist_quantile_agent_1,1,81067.49817472063,111.40087980072856,80849.1524503112,81285.84389913006,16
a0:learned_agent_0|a1:learned_agent_1__price_up_1,0,59308.13267826598,77.13350146172134,59156.951015401006,59459.31434113096,16
a0:learned_agent_0|a1:learned_agent_1__price_up_1,1,38481.535687824435,53.75469484168032,38376.17648593474,38586.89488971413,16
a0:learned_agent_0|a1:learned_agent_1__price_down_1,0,59230.64267377906,75.8417615624295,59081.9928211167,59379.29252644142,16
a0:learned_agent_0|a1:learned_agent_1__price_down_1,1,59349.88152390541,25.77618359808331,59299.36020405317,59400.40284375765,16
a0:learned_agent_0|a1:learned_agent_1__quantity_up_1,0,59240.566998641545,76.37899364605026,59090.86417109529,59390.2698261878,16
a0:learned_agent_0|a1:learned_agent_1__quantity_up_1,1,64508.857292627035,53.94898960844329,64403.11727299449,64614.59731225958,16
a0:learned_agent_0|a1:learned_agent_1__quantity_down_1,0,59246.67228762223,76.82783863877837,59096.08972389022,59397.254851354235,16
a0:learned_agent_0|a1:learned_agent_1__quantity_down_1,1,37811.770204739594,31.88858609610138,37749.268575991235,37874.271833487954,16
a0:cost_plus_agent_0|a1:learned_agent_1,0,150169.96392841623,123.89885145340479,149927.12217956755,150412.8056772649,16
a0:cost_plus_agent_0|a1:learned_agent_1,1,50975.692425708716,44.07305495607958,50889.3092379948,51062.07561342263,16
a0:cost_plus_agent_0|a1:cost_plus_agent_1,0,150091.370363281,123.77312734460978,149848.77503368555,150333.96569287643,16
