Power_Plant_ID,plant_name,fuel_type,capacity,capacity_factor_2025
Coal_298,Limestone,Coal,1849.8,0.4643
Hydro_3437,Eagle Pass,Hydro,9.600000000000001,0.2014
Natural Gas_3441,Nueces Bay,Natural Gas,730.2,0.2847
Natural Gas_3460,Cedar Bayou,Natural Gas,1530.0,0.1225
Natural Gas_3469,T H Wharton,Natural Gas,1189.9,0.0766
Natural Gas_3470,W A Parish,Natural Gas,4008.4,0.4437
Coal_3470,W A Parish,Coal,4008.4,0.4437
Natural Gas_3491,Handley,Natural Gas,1314.8,0.0776
Natural Gas_3612,V H Braunig,Natural Gas,1138.0,0.0653
Natural Gas_3628,R W Miller,Natural Gas,537.6,0.1869
Natural Gas_4937,Thomas C Ferguson,Natural Gas,574.6,0.7212
Natural Gas_4939,Barney M Davis,Natural Gas,1082.2,0.1666
Nuclear_6145,Comanche Peak,Nuclear,2430.0,0.9325
Coal_6146,Martin Lake,Coal,2379.6000000000004,0.4094
Coal_6178,Coleto Creek,Coal,622.4,0.5684
Coal_6179,Fayette Power Project,Coal,1690.0,0.5709
Coal_6180,Oak Grove (TX),Coal,1795.4,0.7027
Coal_6183,San Miguel,Coal,410.0,0.3957
Nuclear_6251,South Texas Project,Nuclear,2708.6,0.918
Coal_7030,Major Oak Power,Coal,349.2,0.7291
Coal_7097,J K Spruce,Coal,1488.5,0.4956
Natural Gas_7512,Arthur Von Rosenberg,Natural Gas,575.0,0.7174
Natural Gas_7900,Sand Hill,Natural Gas,696.4,0.3214
Other_10167,Seadrift Coke LP,Other,7.6,0.4949
Natural Gas_10298,Bayou Cogen Plant,Natural Gas,318.4,0.8492
Natural Gas_10554,Formosa Utility Venture Ltd,Natural Gas,933.4,0.6055
Natural Gas_10692,ExxonMobil Baytown Turbine,Natural Gas,381.8,0.7782
Natural Gas_50043,Houston Chemical Complex Battleground,Natural Gas,380.70000000000005,0.5595
Other_50121,Valero Refinery Corpus Christi West,Other,69.2,0.1354
Other_50153,Texas City Plant Union Carbide,Other,25.8,0.3664
Other_50304,Shell Deer Park,Other,274.0,0.468
Natural Gas_50304,Shell Deer Park,Natural Gas,274.0,0.468
Natural Gas_50815,"Odyssey Energy Altura Cogen, LLC",Natural Gas,643.6,0.6109
Natural Gas_52088,Texas City Power Plant,Natural Gas,450.0,0.4497
Natural Gas_52120,Freeport Energy,Natural Gas,419.3,0.4655
Natural Gas_54520,Village Creek Water Reclamation Facility,Natural Gas,10.6,0.2744
Natural Gas_54676,Oyster Creek Unit VIII,Natural Gas,497.9,0.5732
Natural Gas_55015,Sweeny Cogen Facility,Natural Gas,572.0,0.6595
Natural Gas_55047,Pasadena Cogeneration,Natural Gas,815.0,0.7127
Natural Gas_55086,Gregory Power Plant,Natural Gas,469.8,0.1555
Natural Gas_55091,Midlothian Energy Facility,Natural Gas,1734.0,0.4574
Natural Gas_55097,Lamar Power Project,Natural Gas,1112.6,0.7041
Natural Gas_55098,Frontera Energy Center,Natural Gas,529.0,0.4227
Natural Gas_55123,Magic Valley Generating Station,Natural Gas,801.0,0.3177
Natural Gas_55132,Tenaska Gateway Generating Station,Natural Gas,939.5999999999999,0.5721
Natural Gas_55137,Rio Nogales Power Project,Natural Gas,940.2,0.5032
