datetime,Total_MW,Biomass,Coal,Gas,Gas-CC,Hydro,Nuclear,Other,Solar,WSL,Wind
2025-01-01 00:00:00,44755.050626,0.0273,15.0075,2.1627,37.7955,0.0093,11.3625,0.043,0.0,0.0,33.5922
2025-01-01 01:00:00,44065.335353999995,0.0277,13.6095,1.9137,39.0823,0.0094,11.5374,0.074,0.0,0.0,33.7461
2025-01-01 02:00:00,43745.607643,0.0279,13.1409,1.5598,38.4904,0.0307,11.6147,0.1614,0.0,0.0,34.9741
2025-01-01 03:00:00,43660.508761000005,0.028,13.1233,1.8487,38.2536,0.0291,11.6389,0.4827,0.0,0.0,34.5957
2025-01-01 04:00:00,43536.309958,0.0281,13.1714,2.3364,38.2514,0.0095,11.6736,0.2623,0.0,0.0,34.2674
2025-01-01 05:00:00,44290.11236,0.0276,13.8973,2.5454,40.635,0.0117,11.4748,0.1774,0.0,0.0,31.2308
2025-01-01 06:00:00,45097.185757,0.0271,13.9737,2.5322,40.7073,0.1827,11.2719,0.2979,0.0,0.0,31.0073
2025-01-01 07:00:00,46256.415662,0.0264,14.0086,2.5242,41.1787,0.2051,10.9908,2.5623,0.1797,0.0,28.3242
2025-01-01 08:00:00,46839.743261,0.026,13.6579,2.3813,38.387,0.0854,10.8526,0.9618,10.8141,0.0,22.8338
2025-01-01 09:00:00,47336.096614,0.0257,10.7736,1.918,26.9075,0.0467,10.7402,0.0637,32.273,0.0,17.2516
2025-01-01 10:00:00,47745.220516999994,0.0255,9.6779,1.782,22.4195,0.0464,10.6508,0.0184,38.9449,0.0,16.4346
2025-01-01 11:00:00,47193.391787,0.0258,9.8035,1.82,22.7259,0.0456,10.7739,0.077,39.8685,0.0,14.8599
2025-01-01 12:00:00,46018.092798,0.0265,10.278,1.8785,23.993,0.0089,11.0484,0.1072,39.3491,0.0,13.3104
2025-01-01 13:00:00,45310.361734000006,0.0269,10.6225,1.895,23.9069,0.009,11.2212,0.0351,40.2695,0.0,12.0138
2025-01-01 14:00:00,45069.663023,0.0271,10.9242,1.9008,23.6187,0.0091,11.2797,0.0697,41.0018,0.0,11.169
2025-01-01 15:00:00,44417.918851,0.0275,10.698,1.9616,23.422,0.0092,11.4449,0.2066,40.9115,0.0,11.3189
2025-01-01 16:00:00,44522.323377,0.0274,11.1426,2.2126,33.0157,0.0262,11.4181,0.6834,29.6226,0.0,11.8515
2025-01-01 17:00:00,46053.225462,0.0265,17.2737,4.2323,45.1451,0.2464,11.0381,5.501,5.8465,0.0,10.6905
2025-01-01 18:00:00,47721.027713999996,0.0256,20.0737,6.0137,45.1592,0.2954,10.6548,7.9982,0.0164,0.0,9.763
2025-01-01 19:00:00,47830.606503,0.0255,20.9821,6.9706,45.6791,0.2591,10.6304,4.0035,0.0,0.0,11.4496
2025-01-01 20:00:00,48357.85979699999,0.0252,21.0922,7.2845,45.2951,0.1042,10.5149,0.9574,0.0,0.0,14.7264
2025-01-01 21:00:00,48869.840677,0.0249,21.0813,5.8705,44.0092,0.0152,10.4033,0.1714,0.0,0.0,18.4241
2025-01-01 22:00:00,47519.933445999995,0.0257,21.0678,3.6368,40.8649,0.0087,10.6988,0.1694,0.0,0.0,23.5279
2025-01-01 23:00:00,46716.566399999996,0.0261,19.2271,2.56,35.1534,0.0089,10.8831,0.0302,0.0,0.0,32.1112
2025-01-02 00:00:00,45772.682388999994,0.0281,17.0375,3.5125,35.5674,0.0112,11.1127,0.0644,0.0,0.0,32.6661
2025-01-02 01:00:00,45488.457404999994,0.0269,14.0382,2.6077,32.1056,0.0124,11.1816,0.036,0.0,0.0,39.9916
2025-01-02 02:00:00,45568.961571,0.0268,13.6312,2.5626,31.7912,0.0132,11.163,0.0552,0.0,0.0,40.7569
2025-01-02 03:00:00,45422.892040000006,0.0269,13.7068,2.6002,32.0746,0.0123,11.1989,0.1503,0.0,0.0,40.2299
2025-01-02 04:00:00,45691.192109999996,0.0267,13.7715,2.6207,32.5767,0.0097,11.1349,0.1466,0.0,0.0,39.7131
2025-01-02 05:00:00,47088.968477,0.0259,14.5235,2.5493,32.8367,0.0088,10.8031,0.2632,0.0,0.0,38.9895
2025-01-02 06:00:00,49100.06697299999,0.0249,16.3817,2.4838,33.5777,0.1299,10.3628,0.6661,0.0,0.0,36.373
2025-01-02 07:00:00,51167.635094,0.0238,18.5375,2.3824,33.2962,0.1836,9.9417,1.8151,0.0522,0.0,33.7675
2025-01-02 08:00:00,52185.681639,0.0234,17.6764,2.3813,32.1436,0.0492,9.7471,1.1167,5.2733,0.0,31.5891
2025-01-02 09:00:00,52092.550291,0.0234,13.6862,2.3578,28.7544,0.0079,9.763,0.5626,18.9976,0.0,25.8471
2025-01-02 10:00:00,51721.65891699999,0.0236,14.854,2.3308,30.7199,0.008,9.8322,0.4266,23.5821,0.0,18.223
2025-01-02 11:00:00,50246.669729,0.0243,15.7834,2.3218,31.2799,0.0082,10.1235,0.2651,25.4154,0.0,14.7783
2025-01-02 12:00:00,48961.845250000006,0.0251,17.2724,2.3606,32.2277,0.0084,10.3897,0.104,25.4741,0.0,12.138
2025-01-02 13:00:00,48523.103119,0.0244,18.3733,2.4358,33.5436,0.0085,10.4837,0.2585,24.9508,0.0,9.9213
2025-01-02 14:00:00,48450.307394999996,0.0184,18.4636,2.5773,34.9643,0.0089,10.4984,0.2787,25.8061,0.0,7.3844
2025-01-02 15:00:00,48289.946783,0.0197,19.289,3.1136,36.3809,0.0085,10.5336,0.2905,24.7024,0.0,5.6617
2025-01-02 16:00:00,47972.044992,0.0236,18.957,5.035,40.7714,0.0219,10.6027,0.2903,19.1779,0.0,5.1202
2025-01-02 17:00:00,48044.019606,0.0256,21.325,7.2741,46.3435,0.3312,10.5875,4.0392,4.9332,0.0,5.1408
2025-01-02 18:00:00,49524.257168000004,0.0248,21.3585,9.1803,46.5338,0.4472,10.2703,6.4412,0.0167,0.0,5.7271
2025-01-02 19:00:00,49454.080103,0.0281,21.6999,9.3407,47.0859,0.322,10.2845,3.7809,0.0,0.0,7.4578
2025-01-02 20:00:00,49308.82294299999,0.0301,22.2174,8.9205,47.1325,0.1103,10.3151,1.0522,0.0,0.0,10.2219
2025-01-02 21:00:00,48852.943541,0.0303,21.6655,8.1564,45.8136,0.0122,10.4122,0.2394,0.0,0.0,13.6704
2025-01-02 22:00:00,47547.428048999995,0.0312,21.9106,6.8746,45.2396,0.0089,10.6982,0.1673,0.0,0.0,15.0697
2025-01-02 23:00:00,46367.033966,0.032,21.1754,6.5506,44.4133,0.0091,10.9709,0.0223,0.0,0.0,16.8264
2025-01-03 00:00:00,44643.429575,0.0333,19.9633,5.1701,39.6969,0.0118,11.3965,0.1984,0.0,0.0,23.5297
2025-01-03 01:00:00,44619.476231,0.0333,20.8974,5.5103,44.7566,0.0128,11.4032,0.0993,0.0,0.0,17.2871
