datetime,Total_MW,Biomass,Coal,Gas,Gas-CC,Hydro,Nuclear,Other,Solar,WSL,Wind
2025-01-01 00:00:00,44755.050626,0.000273,0.150075,0.021627,0.377955,9.3e-05,0.113625,0.00043,0.0,0.0,0.335922
2025-01-01 01:00:00,44065.335353999995,0.000277,0.136095,0.019137,0.390823,9.4e-05,0.115374,0.00074,0.0,0.0,0.337461
2025-01-01 02:00:00,43745.607643,0.000279,0.131409,0.015598,0.384904,0.000307,0.116147,0.001614,0.0,0.0,0.349741
2025-01-01 03:00:00,43660.508761000005,0.00028,0.131233,0.018487,0.382536,0.000291,0.116389,0.004827,0.0,0.0,0.345957
2025-01-01 04:00:00,43536.309958,0.000281,0.131714,0.023364,0.382514,9.5e-05,0.116736,0.002623,0.0,0.0,0.342674
2025-01-01 05:00:00,44290.11236,0.000276,0.138973,0.025454,0.40635,0.000117,0.114748,0.001774,0.0,0.0,0.312308
2025-01-01 06:00:00,45097.185757,0.000271,0.139737,0.025322,0.407073,0.001827,0.112719,0.002979,0.0,0.0,0.310073
2025-01-01 07:00:00,46256.415662,0.000264,0.140086,0.025242,0.411787,0.002051,0.109908,0.025623,0.001797,0.0,0.283242
2025-01-01 08:00:00,46839.743261,0.00026,0.136579,0.023813,0.38387,0.000854,0.108526,0.009618,0.108141,0.0,0.228338
2025-01-01 09:00:00,47336.096614,0.000257,0.107736,0.01918,0.269075,0.000467,0.107402,0.000637,0.32273,0.0,0.172516
2025-01-01 10:00:00,47745.220516999994,0.000255,0.096779,0.01782,0.224195,0.000464,0.106508,0.000184,0.389449,0.0,0.164346
2025-01-01 11:00:00,47193.391787,0.000258,0.098035,0.0182,0.227259,0.000456,0.107739,0.00077,0.398685,0.0,0.148599
2025-01-01 12:00:00,46018.092798,0.000265,0.10278,0.018785,0.23993,8.9e-05,0.110484,0.001072,0.393491,0.0,0.133104
2025-01-01 13:00:00,45310.361734000006,0.000269,0.106225,0.01895,0.239069,9e-05,0.112212,0.000351,0.402695,0.0,0.120138
2025-01-01 14:00:00,45069.663023,0.000271,0.109242,0.019008,0.236187,9.1e-05,0.112797,0.000697,0.410018,0.0,0.11169
2025-01-01 15:00:00,44417.918851,0.000275,0.10698,0.019616,0.23422,9.2e-05,0.114449,0.002066,0.409115,0.0,0.113189
2025-01-01 16:00:00,44522.323377,0.000274,0.111426,0.022126,0.330157,0.000262,0.114181,0.006834,0.296226,0.0,0.118515
2025-01-01 17:00:00,46053.225462,0.000265,0.172737,0.042323,0.451451,0.002464,0.110381,0.05501,0.058465,0.0,0.106905
2025-01-01 18:00:00,47721.027713999996,0.000256,0.200737,0.060137,0.451592,0.002954,0.106548,0.079982,0.000164,0.0,0.09763
2025-01-01 19:00:00,47830.606503,0.000255,0.209821,0.069706,0.456791,0.002591,0.106304,0.040035,0.0,0.0,0.114496
2025-01-01 20:00:00,48357.85979699999,0.000252,0.210922,0.072845,0.452951,0.001042,0.105149,0.009574,0.0,0.0,0.147264
2025-01-01 21:00:00,48869.840677,0.000249,0.210813,0.058705,0.440092,0.000152,0.104033,0.001714,0.0,0.0,0.184241
2025-01-01 22:00:00,47519.933445999995,0.000257,0.210678,0.036368,0.408649,8.7e-05,0.106988,0.001694,0.0,0.0,0.235279
2025-01-01 23:00:00,46716.566399999996,0.000261,0.192271,0.0256,0.351534,8.9e-05,0.108831,0.000302,0.0,0.0,0.321112
2025-01-02 00:00:00,45772.682388999994,0.000281,0.170375,0.035125,0.355674,0.000112,0.111127,0.000644,0.0,0.0,0.326661
2025-01-02 01:00:00,45488.457404999994,0.000269,0.140382,0.026077,0.321056,0.000124,0.111816,0.00036,0.0,0.0,0.399916
2025-01-02 02:00:00,45568.961571,0.000268,0.136312,0.025626,0.317912,0.000132,0.11163,0.000552,0.0,0.0,0.407569
2025-01-02 03:00:00,45422.892040000006,0.000269,0.137068,0.026002,0.320746,0.000123,0.111989,0.001503,0.0,0.0,0.402299
2025-01-02 04:00:00,45691.192109999996,0.000267,0.137715,0.026207,0.325767,9.7e-05,0.111349,0.001466,0.0,0.0,0.397131
2025-01-02 05:00:00,47088.968477,0.000259,0.145235,0.025493,0.328367,8.8e-05,0.108031,0.002632,0.0,0.0,0.389895
2025-01-02 06:00:00,49100.06697299999,0.000249,0.163817,0.024838,0.335777,0.001299,0.103628,0.006661,0.0,0.0,0.36373
2025-01-02 07:00:00,51167.635094,0.000238,0.185375,0.023824,0.332962,0.001836,0.099417,0.018151,0.000522,0.0,0.337675
2025-01-02 08:00:00,52185.681639,0.000234,0.176764,0.023813,0.321436,0.000492,0.097471,0.011167,0.052733,0.0,0.315891
2025-01-02 09:00:00,52092.550291,0.000234,0.136862,0.023578,0.287544,7.9e-05,0.09763,0.005626,0.189976,0.0,0.258471
2025-01-02 10:00:00,51721.65891699999,0.000236,0.14854,0.023308,0.307199,8e-05,0.098322,0.004266,0.235821,0.0,0.18223
2025-01-02 11:00:00,50246.669729,0.000243,0.157834,0.023218,0.312799,8.2e-05,0.101235,0.002651,0.254154,0.0,0.147783
2025-01-02 12:00:00,48961.845250000006,0.000251,0.172724,0.023606,0.322277,8.4e-05,0.103897,0.00104,0.254741,0.0,0.12138
2025-01-02 13:00:00,48523.103119,0.000244,0.183733,0.024358,0.335436,8.5e-05,0.104837,0.002585,0.249508,0.0,0.099213
2025-01-02 14:00:00,48450.307394999996,0.000184,0.184636,0.025773,0.349643,8.9e-05,0.104984,0.002787,0.258061,0.0,0.073844
2025-01-02 15:00:00,48289.946783,0.000197,0.19289,0.031136,0.363809,8.5e-05,0.105336,0.002905,0.247024,0.0,0.056617
