episode,n_steps,mean_clearing_price,std_clearing_price,min_clearing_price,max_clearing_price,mean_demand_mw,mean_rho,agent_RL_Agent_0_total_reward,agent_RL_Agent_0_mean_reward,agent_RL_Agent_0_std_reward,agent_RL_Agent_0_clip_rate,agent_RL_Agent_0_action_entropy,agent_RL_Agent_0_greedy_entropy,agent_RL_Agent_0_mean_bid_price,agent_RL_Agent_0_mean_bid_qty_mw,agent_RL_Agent_1_total_reward,agent_RL_Agent_1_mean_reward,agent_RL_Agent_1_std_reward,agent_RL_Agent_1_clip_rate,agent_RL_Agent_1_action_entropy,agent_RL_Agent_1_greedy_entropy,agent_RL_Agent_1_mean_bid_price,agent_RL_Agent_1_mean_bid_qty_mw,agent_RL_Agent_2_total_reward,agent_RL_Agent_2_mean_reward,agent_RL_Agent_2_std_reward,agent_RL_Agent_2_clip_rate,agent_RL_Agent_2_action_entropy,agent_RL_Agent_2_greedy_entropy,agent_RL_Agent_2_mean_bid_price,agent_RL_Agent_2_mean_bid_qty_mw,agent_Cost Plus Markup Baseline Agent_total_reward,agent_Cost Plus Markup Baseline Agent_mean_reward,agent_Cost Plus Markup Baseline Agent_std_reward,agent_Cost Plus Markup Baseline Agent_clip_rate,agent_Cost Plus Markup Baseline Agent_action_entropy,agent_Cost Plus Markup Baseline Agent_mean_bid_price,agent_Cost Plus Markup Baseline Agent_mean_bid_qty_mw,agent_Quantile Baseline Agent_total_reward,agent_Quantile Baseline Agent_mean_reward,agent_Quantile Baseline Agent_std_reward,agent_Quantile Baseline Agent_clip_rate,agent_Quantile Baseline Agent_action_entropy,agent_Quantile Baseline Agent_mean_bid_price,agent_Quantile Baseline Agent_mean_bid_qty_mw
0,335,26.742768041752566,14.124468544839342,-5.69,67.1611968088496,54581.564179104476,0.6936423630995676,94837.73424102475,283.0977141523127,408.4809403931667,0.026865671641791045,0.797,0.759,48.731671641791046,26.613805970149254,82577.52233984435,246.50006668610254,430.67931468779784,0.06567164179104477,0.8192,0.654,61.13704850746269,24.095149253731343,79442.93451034716,237.14308809058852,350.5985315537648,0.01791044776119403,0.7875,0.7084,28.330916044776124,22.098880597014926,121686.16615177723,363.24228702023055,642.7038980430225,0.0,-0.0,33.685,46.875,98228.81791080801,293.2203519725612,569.2527779662855,0.14925373134328357,0.4312,69.85205037313433,41.27798507462686
1,335,27.41275689909567,14.355986140675796,-5.69,75.15679499922688,54882.692537313436,0.6884154192342157,102392.4325399987,305.6490523582051,416.96944279165353,0.0,0.7596,0.7596,44.28397574626866,27.69589552238806,98235.64973629345,293.24074548147297,432.8464275303528,0.0029850746268656717,0.7238,0.7242,44.44937126865672,26.81902985074627,88679.72812262505,264.7156063361942,363.0271858954459,0.0,0.7351,0.7321,20.72790671641791,22.34141791044776,127562.6602648739,380.7840604921609,650.3182293140022,0.0,-0.0,33.685,46.875,116442.03182626978,347.58815470528293,592.01379993505,0.14925373134328357,0.4312,69.85205037313433,41.27798507462686
2,335,27.820187077213784,14.678306831027887,-5.69,70.60633466785241,55185.385074626865,0.6844523463046858,104618.09232351952,312.2928129060284,428.06491306941496,0.0,0.7563,0.7563,46.53500559701492,27.17350746268657,100744.48164106642,300.72979594348186,443.2954406281925,0.0,0.7163,0.7179,43.07687313432835,26.35261194029851,90437.11837771481,269.9615473961636,372.32929025794607,0.0,0.732,0.732,20.28437686567164,22.36007462686567,143440.33861959435,428.18011528237116,666.3738681127508,0.0,-0.0,33.685,46.875,118660.70789856208,354.21106835391663,593.2435111774445,0.14925373134328357,0.4312,69.85205037313433,41.27798507462686
3,335,28.092330849890903,14.187721092012962,-5.69,69.79280313555321,55438.3223880597,0.6839046736961689,105744.14443331647,315.6541624875118,432.1275337006889,0.0,0.7546,0.7546,46.653968283582095,27.527985074626866,99235.1882468094,296.2244425277892,444.7808606111163,0.0,0.7182,0.7182,42.21309328358209,26.259328358208954,92225.13917112145,275.29892289887,372.3558271588191,0.0,0.7328,0.7318,20.205848880597014,22.34141791044776,134408.5072709854,401.2194246895086,669.9300976366342,0.0,-0.0,33.685,46.875,113143.24430972355,337.74102779021956,598.5752310254782,0.14925373134328357,0.4312,69.85205037313435,41.27798507462686
4,335,28.4667328180118,13.585454201490407,-1.2462843348799435,72.95705056066444,56408.05373134329,0.68254856155761,104232.90041494291,311.14298631326244,442.840135433162,0.0,0.7554,0.7554,45.73642164179105,27.39738805970149,103134.51782537169,307.86423231454233,460.6280262933433,0.0,0.7201,0.7201,41.65552425373134,26.40858208955224,88848.47353144367,265.2193239744587,366.3034471354302,0.0,0.7337,0.7337,20.054339552238805,22.78917910447761,140593.9889524897,419.6835491119095,672.6752753045206,0.0,-0.0,33.685,46.875,109079.07368487133,325.60917517872036,587.4811262803687,0.14925373134328357,0.4316,69.87476865671643,41.27798507462686
5,335,30.566894031691856,14.887100814156383,-4.480649012343052,86.07634839209985,57018.068656716416,0.6651097906477138,122947.41469276248,367.00720803809696,488.81653381820786,0.0,0.7529,0.7529,45.72712873134328,27.472014925373134,115152.89387041645,343.73998170273563,502.4159994669946,0.0,0.7178,0.7178,42.631440298507464,26.40858208955224,107693.23488776662,321.47234294855707,427.5946662763768,0.0,0.7334,0.7334,19.997874999999997,23.125,179093.835421391,534.6084639444508,747.9556153107462,0.0,-0.0,33.685,46.875,145113.70537904097,433.1752399374357,664.967129196431,0.14925373134328357,0.4317,69.88839552238807,41.27798507462686
6,335,32.10240181271074,16.9329826922034,-5.69,119.61843440524557,57611.14029850746,0.6532940314129627,136375.72042432512,407.09170275917944,549.9960633363052,0.0,0.764,0.764,47.23469962686568,27.098880597014926,126445.2925768932,377.44863455789016,524.0040037862115,0.0,0.7214,0.7214,42.20768470149254,26.128731343283583,122511.44323995235,365.7058007162757,502.65885958147067,0.0,0.7403,0.7403,19.638423507462687,23.386194029850746,204353.9158630221,610.0116891433495,846.9417340398184,0.0,-0.0,33.685,46.875,167131.80071985096,498.9008976711969,775.5367713762173,0.14925373134328357,0.4316,69.87476865671643,41.27798507462686
7,335,37.339582749643235,26.828463478898833,-5.101200957105858,184.494001545214,58055.62985074627,0.6208603982725001,180563.89627015454,538.9967052840434,824.9911758728073,0.0,0.7722,0.7722,46.17820149253731,27.509328358208954,161843.2541062891,483.114191362057,757.0392375860409,0.0,0.7318,0.7291,42.01937686567164,26.128731343283583,156831.13883928163,468.15265325158697,672.8190472746247,0.0,0.7447,0.7447,19.215639925373132,23.55410447761194,296327.19365624955,884.5587870335808,1313.5686515709745,0.0,-0.0,33.685,46.875,250027.13927022775,746.3496694633665,1268.0966890873344,0.14925373134328357,0.4312,69.85205037313433,41.27798507462686
8,335,36.425040041832865,26.817115825916343,-4.982680723642255,181.75125122445837,57860.03283582089,0.6279930418812804,177240.84252021663,529.0771418513929,812.0836547530716,0.0,0.7662,0.7662,44.62758582089551,27.30410447761194,149578.92979975895,446.50426805898195,728.3134066330553,0.0,0.7284,0.7284,41.775091417910446,25.457089552238806,149524.59017575026,446.34206022612017,659.6664200976728,0.0,0.7399,0.7399,18.742462686567162,23.42350746268657,285466.71221946646,852.1394394610938,1301.9617766697477,0.0,-0.0,33.685,46.875,239567.4671233666,715.1267675324376,1251.6793661428446,0.14925373134328357,0.4312,69.85205037313433,41.27798507462686
9,335,36.98402723861407,26.652557945498693,-5.69,177.89733591630267,57444.7671641791,0.6239091171832977,175332.52341106112,523.3806668986899,809.1170974494524,0.0,0.7603,0.7603,45.8253656716418,27.024253731343283,147462.6635501514,440.18705537358625,730.316579884737,0.0,0.7193,0.7193,43.46746455223881,24.67350746268657,153261.41485377646,457.49676075754167,666.2286244275618,0.0,0.7294,0.7294,18.3752947761194,22.65858208955224,287777.50114383455,859.0373168472673,1305.593995326248,0.0,-0.0,33.685,46.875,256463.39805084802,765.5623822413373,1256.5418164808934,0.14925373134328357,0.4312,69.85205037313433,41.27798507462686
