episode,agent_RL_Agent_0_rolling_reward_var,agent_RL_Agent_0_entropy,agent_RL_Agent_0_greedy_entropy,agent_RL_Agent_1_rolling_reward_var,agent_RL_Agent_1_entropy,agent_RL_Agent_1_greedy_entropy,agent_RL_Agent_2_rolling_reward_var,agent_RL_Agent_2_entropy,agent_RL_Agent_2_greedy_entropy,agent_Cost Plus Markup Baseline Agent_rolling_reward_var,agent_Cost Plus Markup Baseline Agent_entropy,agent_Quantile Baseline Agent_rolling_reward_var,agent_Quantile Baseline Agent_entropy
0,,0.797,0.759,,0.8192,0.654,,0.7875,0.7084,,-0.0,,0.4312
1,28536733.194259986,0.7596,0.7596,122588476.7817149,0.7238,0.7242,42659178.117908835,0.7351,0.7321,17266591.530629948,-0.0,165860580.56518537,0.4312
2,26280405.347053826,0.7563,0.7563,96918266.89034933,0.7163,0.7179,34879809.27566488,0.732,0.732,126646312.12612498,-0.0,125684302.18596977,0.4312
3,24094515.11121948,0.7546,0.7546,71855373.2161762,0.7182,0.7182,32369214.125363693,0.7328,0.7318,87514619.58758713,-0.0,84822527.62149733,0.4312
4,19161144.102918714,0.7554,0.7554,66488524.73324172,0.7201,0.7201,24542443.60422476,0.7337,0.7337,81192930.77692586,-0.0,64906836.57427147,0.4316
5,85934463.97491673,0.7529,0.7529,109417851.07213202,0.7178,0.7178,84753411.85638492,0.7334,0.7334,410838322.79178846,-0.0,244625346.8910798,0.4317
6,205205303.19281992,0.764,0.764,192250778.46200094,0.7214,0.7214,210497169.17967644,0.7403,0.7403,913386368.611117,-0.0,566070495.675588,0.4316
7,795407330.2905914,0.7722,0.7722,588144059.0014347,0.7318,0.7291,647688376.728276,0.7447,0.7447,3453407326.8281837,-0.0,2471461340.4301248,0.4312
8,1073335357.1696169,0.7662,0.7662,680673585.1276304,0.7284,0.7284,803794310.8580205,0.7399,0.7399,4543599582.380062,-0.0,3270068258.6284766,0.4312
9,1203009826.1909273,0.7603,0.7603,709025244.8165592,0.7193,0.7193,915146949.30466,0.7294,0.7294,5169584650.225115,-0.0,4022747257.466166,0.4312
10,1171444081.7806385,0.7577,0.7577,647317669.6820089,0.7168,0.7168,868613640.5316328,0.7245,0.7245,5059679431.58936,-0.0,3974692595.5465612,0.4312
11,1129189251.110006,0.762,0.762,613326841.2213904,0.7208,0.7208,824915175.8893231,0.7334,0.7334,4966591066.380784,-0.0,3857614901.148427,0.4316
12,1100269755.6330807,0.7674,0.7674,596786466.1608481,0.7248,0.7248,789183585.4432201,0.7321,0.7321,4915895035.612009,-0.0,3821287892.497024,0.4317
13,1071351205.0413677,0.7701,0.7701,589228465.8018391,0.7285,0.7285,758870061.6632011,0.7397,0.7397,4778343176.631545,-0.0,3727519922.1940074,0.4316
14,934918110.9352887,0.772,0.772,463602819.7701565,0.7272,0.7272,647646202.6696212,0.7431,0.7431,4195346083.6615124,-0.0,3292425828.7333517,0.4312
15,786923846.7109195,0.777,0.777,388483420.7871767,0.7294,0.7294,549768212.6710507,0.7419,0.7419,3495085518.8709407,-0.0,2877894123.311724,0.4312
16,629456815.265263,0.7797,0.7797,314673300.0790562,0.7268,0.7268,441091528.04618067,0.743,0.743,2852067994.5961194,-0.0,2386545307.8425303,0.4312
17,458606611.8460087,0.7793,0.7793,223134430.3217933,0.7243,0.7243,320631121.9969384,0.7396,0.7396,1934499322.3047838,-0.0,1723711655.790546,0.4312
18,237803846.15354583,0.7754,0.7754,134292482.99048832,0.7242,0.7242,147714102.3831723,0.7352,0.7352,969375152.5169713,-0.0,877314100.9998862,0.4316
19,149417521.0106278,0.7687,0.7687,114626940.39062268,0.7258,0.7258,88393695.07601856,0.7283,0.7283,580062288.3591619,-0.0,529871936.6959334,0.4317
20,249684791.434644,0.7658,0.7658,213455037.63517955,0.7177,0.7177,187204272.4666351,0.7317,0.7317,882289472.9982955,-0.0,754101872.3296168,0.4316
21,801018831.8578544,0.7513,0.7513,515963559.17619,0.7017,0.7017,529831263.80827576,0.7284,0.7284,2638681046.2748327,-0.0,2052491130.4462123,0.4312
22,1411347045.5667856,0.7325,0.7325,871344941.7743492,0.6733,0.6733,823689918.0587392,0.7266,0.7266,4457886277.83513,-0.0,3523741720.7324014,0.4312
23,1799012992.7526853,0.73,0.73,1080479612.6609144,0.6703,0.6703,1046026441.8037194,0.7336,0.7336,6036026708.212419,-0.0,4621284579.068572,0.4312
24,2215223000.7175503,0.7227,0.7227,1291989184.6625059,0.6687,0.6687,1306199722.9621785,0.7315,0.7315,7512581781.450536,-0.0,5772496854.852014,0.4312
25,2491676222.0592885,0.7196,0.7196,1456467155.4022372,0.6633,0.6633,1473032425.4609616,0.7228,0.7228,8485230051.775497,-0.0,6544265544.289759,0.4316
26,2618515416.87514,0.7171,0.7171,1541222628.7729197,0.6602,0.6602,1575500595.4678292,0.7244,0.7244,8942954357.31787,-0.0,6963511715.339464,0.4317
27,2626420837.4195447,0.7186,0.7186,1532957719.200155,0.6643,0.6643,1616448544.7471972,0.7209,0.7209,9163444763.874355,-0.0,7041414257.779252,0.4316
28,2510095501.56621,0.7122,0.7122,1445951548.3726168,0.6551,0.6551,1553853202.3851705,0.7123,0.7123,8841092933.498943,-0.0,6739402613.653614,0.4312
29,2329197588.55846,0.7157,0.7157,1358931712.0900493,0.6582,0.6582,1439189462.514465,0.7207,0.7207,8035038435.659655,-0.0,6219921430.168891,0.4312
30,2006371513.224661,0.7188,0.7188,1170010436.805276,0.6567,0.6567,1194979291.0863862,0.7174,0.7174,6814718157.055876,-0.0,5299185558.487102,0.4312
31,1449924840.1185708,0.7323,0.7323,836380534.8511556,0.6698,0.6698,849176603.3686186,0.7308,0.7308,5030285242.677766,-0.0,3972849925.4446006,0.4312
32,842589851.7083029,0.7341,0.7341,431028773.967599,0.6703,0.6703,457513243.75877947,0.7361,0.7361,2927660524.809024,-0.0,2310277467.192016,0.4316
33,317515771.0049559,0.7363,0.7363,158876603.48051465,0.6706,0.6706,150670999.39006037,0.7384,0.7384,1184737047.3132935,-0.0,937873939.4916629,0.4317
34,30034871.252603814,0.7361,0.7361,22800679.51640604,0.6729,0.6729,19349758.55408683,0.7426,0.7426,177816991.80565214,-0.0,176947561.9009569,0.4316
35,17752651.53872586,0.739,0.739,26652310.150543723,0.6789,0.6789,18985879.63347335,0.7449,0.7449,76679002.54508005,-0.0,69486197.12166248,0.4312
36,279963109.9816655,0.739,0.739,392164864.76309144,0.6827,0.6827,352389352.6175763,0.7468,0.7468,1024683484.752633,-0.0,862732961.3680276,0.4312
37,956546788.2620518,0.7653,0.7653,1015435078.437297,0.7121,0.7121,849222337.6873145,0.7549,0.7549,2947624226.4944296,-0.0,2379373503.653374,0.4312
38,1888910303.2638452,0.7742,0.7742,1825487755.537127,0.7242,0.7242,1390586970.5744798,0.7573,0.7573,5215043634.033902,-0.0,4188757507.835591,0.4312
39,2722590176.133895,0.7789,0.7789,2550726254.972409,0.7306,0.7306,1829483528.4452212,0.7599,0.7599,7362227538.470649,-0.0,5818719451.242288,0.4316
40,3410250192.9424567,0.7787,0.7787,3207073040.663992,0.7286,0.7286,2225637089.821244,0.7557,0.7557,9467740111.206059,-0.0,7195147086.626658,0.4317
41,3936460330.280474,0.7777,0.7777,3645948823.4070883,0.7242,0.7242,2510119708.601547,0.7529,0.7529,11030877647.190636,-0.0,8361247668.14383,0.4316
42,4114411828.280866,0.7712,0.7712,3808766158.140214,0.7217,0.7217,2604728230.49797,0.7446,0.7446,11839485109.063925,-0.0,8750425441.540249,0.4312
43,4200334491.311433,0.7614,0.7614,3829391394.006149,0.7122,0.7122,2617688820.2445583,0.7382,0.7382,12147055528.614378,-0.0,8821796263.890062,0.4312
44,4064383458.633393,0.7607,0.7607,3625802521.4936323,0.7176,0.7176,2529327319.169853,0.739,0.739,11910996280.98839,-0.0,8551846409.272827,0.4312
45,3750131556.4790964,0.7502,0.7502,3275532628.886938,0.7061,0.7061,2281807348.643986,0.7316,0.7316,11154299034.69608,-0.0,7780228082.094683,0.4312
46,3272266152.3540998,0.752,0.752,2761034363.0124283,0.7118,0.7118,1905528363.3009024,0.7332,0.7332,9651296744.630564,-0.0,6559064013.149414,0.4316
47,2562406071.691688,0.7485,0.7485,2195673420.034603,0.7074,0.7074,1422154192.5784764,0.7307,0.7307,7456251715.794432,-0.0,5032697924.3377285,0.4317
48,1619178152.575606,0.7468,0.7468,1304911148.1836362,0.7126,0.7126,829657942.4718462,0.7346,0.7346,4754579410.62492,-0.0,3152896510.538834,0.4316
49,564361043.6683074,0.7485,0.7485,377815886.4951238,0.7122,0.7122,166048702.40768337,0.7302,0.7302,1560673488.7740233,-0.0,837902704.0039959,0.4312
