episode,n_steps,mean_clearing_price,std_clearing_price,min_clearing_price,max_clearing_price,mean_demand_mw,mean_rho,agent_RL_Agent_0_total_reward,agent_RL_Agent_0_mean_reward,agent_RL_Agent_0_std_reward,agent_RL_Agent_0_clip_rate,agent_RL_Agent_0_action_entropy,agent_RL_Agent_0_greedy_entropy,agent_RL_Agent_0_mean_bid_price,agent_RL_Agent_0_mean_bid_qty_mw,agent_RL_Agent_1_total_reward,agent_RL_Agent_1_mean_reward,agent_RL_Agent_1_std_reward,agent_RL_Agent_1_clip_rate,agent_RL_Agent_1_action_entropy,agent_RL_Agent_1_greedy_entropy,agent_RL_Agent_1_mean_bid_price,agent_RL_Agent_1_mean_bid_qty_mw,agent_RL_Agent_2_total_reward,agent_RL_Agent_2_mean_reward,agent_RL_Agent_2_std_reward,agent_RL_Agent_2_clip_rate,agent_RL_Agent_2_action_entropy,agent_RL_Agent_2_greedy_entropy,agent_RL_Agent_2_mean_bid_price,agent_RL_Agent_2_mean_bid_qty_mw,agent_RL_Agent_3_total_reward,agent_RL_Agent_3_mean_reward,agent_RL_Agent_3_std_reward,agent_RL_Agent_3_clip_rate,agent_RL_Agent_3_action_entropy,agent_RL_Agent_3_greedy_entropy,agent_RL_Agent_3_mean_bid_price,agent_RL_Agent_3_mean_bid_qty_mw,agent_RL_Agent_4_total_reward,agent_RL_Agent_4_mean_reward,agent_RL_Agent_4_std_reward,agent_RL_Agent_4_clip_rate,agent_RL_Agent_4_action_entropy,agent_RL_Agent_4_greedy_entropy,agent_RL_Agent_4_mean_bid_price,agent_RL_Agent_4_mean_bid_qty_mw,agent_RL_Agent_5_total_reward,agent_RL_Agent_5_mean_reward,agent_RL_Agent_5_std_reward,agent_RL_Agent_5_clip_rate,agent_RL_Agent_5_action_entropy,agent_RL_Agent_5_greedy_entropy,agent_RL_Agent_5_mean_bid_price,agent_RL_Agent_5_mean_bid_qty_mw,agent_RL_Agent_6_total_reward,agent_RL_Agent_6_mean_reward,agent_RL_Agent_6_std_reward,agent_RL_Agent_6_clip_rate,agent_RL_Agent_6_action_entropy,agent_RL_Agent_6_greedy_entropy,agent_RL_Agent_6_mean_bid_price,agent_RL_Agent_6_mean_bid_qty_mw,agent_Cost Plus Markup Baseline Agent_total_reward,agent_Cost Plus Markup Baseline Agent_mean_reward,agent_Cost Plus Markup Baseline Agent_std_reward,agent_Cost Plus Markup Baseline Agent_clip_rate,agent_Cost Plus Markup Baseline Agent_action_entropy,agent_Cost Plus Markup Baseline Agent_mean_bid_price,agent_Cost Plus Markup Baseline Agent_mean_bid_qty_mw,agent_Quantile Baseline Agent_total_reward,agent_Quantile Baseline Agent_mean_reward,agent_Quantile Baseline Agent_std_reward,agent_Quantile Baseline Agent_clip_rate,agent_Quantile Baseline Agent_action_entropy,agent_Quantile Baseline Agent_mean_bid_price,agent_Quantile Baseline Agent_mean_bid_qty_mw
0,335,26.97319073636929,14.199608791791757,-5.69,66.15658263292485,54581.564179104476,0.6915304572190673,55402.46202021073,165.3804836424201,314.3033554047869,0.026865671641791045,0.8,0.7222,46.94622574626865,17.67723880597015,98390.6082229864,293.7033081283176,392.5044325541239,0.023880597014925373,0.7684,0.69,30.162180970149254,25.19589552238806,102712.076340427,306.6032129564985,478.62348644233174,0.04477611940298507,0.7809,0.6993,53.86072388059702,27.378731343283583,90708.76598775297,270.77243578433723,445.36700289094284,0.023880597014925373,0.7693,0.7075,41.2147276119403,20.494402985074625,78436.91415467684,234.14004225276668,359.10325512707993,0.011940298507462687,0.759,0.7054,46.37751305970149,21.222014925373134,70711.54284417839,211.07923237068175,318.50356661525655,0.023880597014925373,0.7699,0.7184,38.78480223880598,21.986940298507463,84556.36508144371,252.4070599446081,402.5320554019721,0.026865671641791045,0.7622,0.7019,41.220229477611944,26.96828358208955,120764.07889393467,360.4897877430886,638.3701629933047,0.0,-0.0,33.685,46.875,97253.65827158409,290.30942767637043,556.7045369696903,0.14925373134328357,0.4312,69.85205037313433,41.27798507462686
1,335,27.89824154481808,14.090663267706605,-5.69,66.58770653828023,54882.692537313436,0.6853133041558263,63924.69528809849,190.81998593462237,335.2334134448887,0.0,0.7399,0.7399,37.81658768656716,18.57276119402985,110631.52268603125,330.24335130158585,412.65643686105943,0.0,0.6943,0.6943,20.437759328358208,24.636194029850746,115497.55295449396,344.76881478953425,488.5459845037959,0.0,0.7192,0.7192,41.11757649253731,28.94589552238806,98325.97758198995,293.51038084176105,472.1930703121499,0.0,0.6831,0.6831,41.00472947761194,20.457089552238806,87958.20247773819,262.5617984410095,373.81163310130967,0.0,0.6975,0.6975,42.55558208955224,20.699626865671643,77258.0557445648,230.62106192407404,332.68745753053037,0.0,0.6772,0.6772,26.477229477611942,22.472014925373134,95005.07276550785,283.5972321358443,414.6270485334663,0.0,0.6927,0.6927,40.2995354477612,27.024253731343283,134842.23835607857,402.5141443465032,661.5722294105831,0.0,-0.0,33.685,46.875,114272.39182128599,341.1116173769731,579.147893747412,0.14925373134328357,0.4312,69.85205037313433,41.27798507462686
2,335,27.397534403102934,14.880546857191181,-5.69,68.90494053389895,55185.385074626865,0.6869888605313165,60241.08760283795,179.82414209802374,333.07672323407377,0.0,0.7378,0.7378,40.139147388059705,19.132462686567163,107355.65191283869,320.4646325756379,418.13185406837704,0.0,0.6872,0.6872,20.748085820895522,23.98320895522388,116165.7143510207,346.7633264209573,497.487114429752,0.0,0.713,0.713,44.38509514925373,28.684701492537314,98745.90248947099,294.7638880282716,481.4558023901006,0.0,0.6939,0.6939,40.17275,20.979477611940297,86937.71306727902,259.51556139486274,377.767016019722,0.0,0.6946,0.6946,41.574632462686566,20.979477611940297,76439.30030057105,228.17701582260014,330.60602122732394,0.0,0.6757,0.6757,26.380720149253726,22.621268656716417,96780.25428257737,288.8962814405295,434.2201086197978,0.0,0.6975,0.6975,40.49870708955224,26.09141791044776,138837.139397657,414.4392220825582,664.4579611178351,0.0,-0.0,33.685,46.875,110024.77939985676,328.43217731300524,587.9570341647117,0.14925373134328357,0.4312,69.85205037313433,41.27798507462686
3,335,27.70482515911014,13.980975182906654,-5.472053562845913,73.9724382632335,55438.3223880597,0.6868436620802589,58283.103999632614,173.97941492427645,310.11324079389277,0.0,0.738,0.738,37.52106156716418,19.207089552238806,105493.59492096106,314.90625349540613,399.56175373580146,0.0,0.6891,0.6891,20.708188432835822,23.759328358208954,114053.6995807265,340.4588047185866,486.1502030177333,0.0,0.7134,0.7134,42.79028731343283,29.169776119402986,98526.32132187864,294.10842185635414,463.0013222173391,0.0,0.6879,0.6879,37.58708395522388,21.128731343283583,87263.7751235074,260.48888096569374,362.71002518390463,0.0,0.6934,0.6934,44.22359141791045,21.09141791044776,75822.79040219123,226.33668776773501,317.26599532975877,0.0,0.6729,0.6729,26.493671641791035,22.583955223880597,94492.95278249249,282.0685157686343,423.83953390513625,0.0,0.6977,0.6977,42.345376865671646,26.333955223880597,125180.84044782554,373.674150590524,646.1577555808473,0.0,-0.0,33.685,46.875,106588.81059636924,318.1755540190126,573.2917853837191,0.14925373134328357,0.4312,69.85205037313435,41.27798507462686
4,335,28.755566452617668,13.48176435324762,-1.8092454972114949,71.72771472744564,56408.05373134329,0.6806182034025289,64872.418792192024,193.64901131997618,347.2256004861272,0.0,0.7417,0.7417,37.37355037313432,19.934701492537314,108176.1690135226,322.9139373537988,414.1785048498583,0.0,0.6897,0.6897,20.774800373134326,23.777985074626866,122117.57107025853,364.5300628962941,501.0258642395203,0.0,0.7159,0.7159,43.140414179104475,28.815298507462686,103986.5621476263,310.40764820186956,478.2823159276027,0.0,0.6902,0.6902,36.72703731343283,20.307835820895523,88750.71098092903,264.9274954654598,382.3831538816796,0.0,0.6895,0.6895,42.52046268656717,20.830223880597014,79752.18129035027,238.06621280701575,342.5780772263797,0.0,0.6745,0.6745,26.243499999999994,22.60261194029851,97500.66013825726,291.04674668136494,426.01568296604216,0.0,0.7007,0.7007,37.86716604477612,26.707089552238806,139053.43239595438,415.08487282374443,673.575619178286,0.0,-0.0,33.685,46.875,110683.96337593693,330.3998906744386,594.6999090018303,0.14925373134328357,0.4316,69.87476865671643,41.27798507462686
5,335,30.51175351870252,14.747281570241952,-4.1716991184243755,80.22425886006538,57018.068656716416,0.665561046483608,79222.5841469517,236.48532581179612,379.2804523328348,0.0,0.7426,0.7426,37.48868470149253,20.307835820895523,125955.36614796796,375.9861676058745,444.75127402024435,0.0,0.6879,0.6879,21.034263059701495,23.85261194029851,137805.8898181278,411.36086512873965,530.0614215801556,0.0,0.7168,0.7168,42.97466604477612,28.628731343283583,110234.552833836,329.0583666681672,498.8292371446786,0.0,0.6874,0.6874,37.6364776119403,20.009328358208954,97457.41660024965,290.91766149328254,388.6501946674567,0.0,0.6853,0.6853,42.49080037313433,20.66231343283582,98319.64292467752,293.49147141694783,397.72360890101646,0.0,0.6765,0.6765,26.1503171641791,22.67723880597015,115875.55356456139,345.8971748195862,480.44828161588543,0.0,0.7009,0.7009,34.265328358208954,27.154850746268657,167783.7553669916,500.8470309462436,741.6964076710025,0.0,-0.0,33.685,46.875,146669.70199167964,437.82000594531235,646.2475764788992,0.14925373134328357,0.4317,69.88839552238807,41.27798507462686
6,335,32.431618036797296,17.126442889206473,-3.305488851035417,121.9386063302967,57611.14029850746,0.6507316171075698,83404.87311664209,248.96977049743907,400.3497230964671,0.0,0.7405,0.7405,39.848654850746264,19.692164179104477,134814.8257144483,402.4323155655173,503.4021405084552,0.0,0.6941,0.6941,21.842507462686566,23.722014925373134,161838.12962377974,483.0988943993425,650.2651257264185,0.0,0.7185,0.7185,43.97245149253732,29.375,135457.79102531148,404.3516150009298,672.290461710896,0.0,0.6958,0.6958,38.415985074626875,21.203358208955223,113109.12367472448,337.6391751484313,494.87196157422545,0.0,0.6822,0.6822,41.85670895522388,20.550373134328357,106570.7378577251,318.12160554544806,452.7569631013722,0.0,0.6779,0.6779,27.133848880597014,22.30410447761194,113457.3486191411,338.6786525944511,486.8443035701708,0.0,0.7114,0.7114,34.81926305970149,25.56902985074627,211831.9926444457,632.3343064013304,864.1888102071832,0.0,-0.0,33.685,46.875,174697.18006307303,521.4841195912628,795.8665717013131,0.14925373134328357,0.4316,69.87476865671643,41.27798507462686
7,335,37.280386270669226,26.457332841557594,-5.69,175.5369508574088,58055.62985074627,0.621478258234214,106178.11566727061,316.94959900677793,596.1857043602566,0.0,0.7395,0.7398,41.779865671641794,19.41231343283582,167799.40430819686,500.8937442035727,668.876092885467,0.0,0.7093,0.7093,22.31077052238806,24.151119402985074,217502.65815378062,649.2616661306885,962.0555817346825,0.0,0.7225,0.7214,41.130938432835826,29.449626865671643,198148.52452285116,591.4881329040334,1140.7903080745164,0.0,0.702,0.7028,38.41777611940299,22.042910447761194,158170.6468644973,472.1511846701412,776.7892563125029,0.0,0.6912,0.6896,39.52303731343283,20.774253731343283,132027.80148253866,394.11284024638405,619.6617369253703,0.0,0.6858,0.6857,27.908429104477612,22.30410447761194,132609.7843108705,395.850102420509,564.806917893147,0.0,0.7207,0.7185,34.83384514925373,24.78544776119403,289593.2663319411,864.4575114386303,1303.1562486256578,0.0,-0.0,33.685,46.875,243879.84146681,727.999526766597,1255.7629480883338,0.14925373134328357,0.4312,69.85205037313433,41.27798507462686
8,335,36.42817844322066,26.692700763153763,-2.8614113647334665,177.76039986745167,57860.03283582089,0.6278304777789107,104752.01984542963,312.6925965535213,608.398303058835,0.0,0.7343,0.7343,45.67204104477612,19.67350746268657,158353.66550269813,472.697508963278,653.7705817895364,0.0,0.7126,0.7126,23.15602985074627,23.55410447761194,212949.1372956798,635.669066554268,950.9236911014476,0.0,0.7128,0.7128,38.75571828358209,29.636194029850746,202830.7464904756,605.4649148969421,1134.3042943220057,0.0,0.7073,0.7073,37.439375000000005,23.199626865671643,152835.92168243264,456.2266318878586,774.5140889424565,0.0,0.6839,0.6839,38.21775746268656,20.53171641791045,124798.82419520884,372.5338035677876,615.969571494659,0.0,0.6829,0.6829,28.149934701492537,22.416044776119403,123180.4049016518,367.7027011989606,545.3817403480173,0.0,0.7159,0.7159,34.437259328358216,23.88992537313433,281509.2583321901,840.3261442751943,1301.5586441996256,0.0,-0.0,33.685,46.875,243307.3874929521,726.2907089341854,1251.140679342627,0.14925373134328357,0.4312,69.85205037313433,41.27798507462686
9,335,36.262382200593954,26.57105507689496,-3.319117402080176,181.94295506096609,57444.7671641791,0.6284169153776573,100124.98064727458,298.8805392455958,587.1045212722859,0.0,0.7307,0.7307,47.56127985074627,19.561567164179106,155578.8864449852,464.41458640294087,651.8654274189837,0.0,0.7044,0.7044,23.07485447761194,22.901119402985074,214895.55229619838,641.4792605856668,950.8223715632914,0.0,0.7055,0.7055,39.62886753731343,29.916044776119403,203816.46695784523,608.4073640532694,1131.9168568949083,0.0,0.7037,0.7037,38.211371268656706,22.770522388059703,155543.49770766858,464.3089483811002,771.7420941888072,0.0,0.683,0.683,39.00090111940299,21.128731343283583,127555.17800342059,380.76172538334504,614.400282226625,0.0,0.6755,0.6755,27.403214552238804,22.509328358208954,120478.21270114544,359.63645582431474,546.4206133539783,0.0,0.7152,0.7152,36.13841231343284,23.684701492537314,286011.1031683569,853.764487069722,1284.488434300534,0.0,-0.0,33.685,46.875,245184.907456378,731.8952461384417,1241.5442281076732,0.14925373134328357,0.4312,69.85205037313433,41.27798507462686
