episode,agent_RL_Agent_0_rolling_reward_var,agent_RL_Agent_0_entropy,agent_RL_Agent_0_greedy_entropy,agent_RL_Agent_1_rolling_reward_var,agent_RL_Agent_1_entropy,agent_RL_Agent_1_greedy_entropy,agent_RL_Agent_2_rolling_reward_var,agent_RL_Agent_2_entropy,agent_RL_Agent_2_greedy_entropy,agent_RL_Agent_3_rolling_reward_var,agent_RL_Agent_3_entropy,agent_RL_Agent_3_greedy_entropy,agent_RL_Agent_4_rolling_reward_var,agent_RL_Agent_4_entropy,agent_RL_Agent_4_greedy_entropy,agent_RL_Agent_5_rolling_reward_var,agent_RL_Agent_5_entropy,agent_RL_Agent_5_greedy_entropy,agent_RL_Agent_6_rolling_reward_var,agent_RL_Agent_6_entropy,agent_RL_Agent_6_greedy_entropy,agent_Cost Plus Markup Baseline Agent_rolling_reward_var,agent_Cost Plus Markup Baseline Agent_entropy,agent_Quantile Baseline Agent_rolling_reward_var,agent_Quantile Baseline Agent_entropy
0,,0.8,0.7222,,0.7684,0.69,,0.7809,0.6993,,0.7693,0.7075,,0.759,0.7054,,0.7699,0.7184,,0.7622,0.7019,,-0.0,,0.4312
1,36314229.93614642,0.7399,0.7399,74919993.44579047,0.6943,0.6943,81734206.12442675,0.7192,0.7192,29010956.235689178,0.6831,0.6831,45327465.665432155,0.6975,0.6975,21428415.577462863,0.6772,0.6772,54587746.133510485,0.6927,0.6927,99097286.9207759,-0.0,144818645.8178744,0.4312
2,18268287.16334299,0.7378,0.7378,40157220.76253313,0.6872,0.6872,57485871.27012564,0.713,0.713,20465635.424424917,0.6939,0.6939,27326652.020036988,0.6946,0.6946,12722399.518542804,0.6757,0.6757,43625038.14785971,0.6975,0.6975,90131554.02412742,-0.0,78463506.29857355,0.4312
3,12797422.770848379,0.738,0.738,26771775.213906955,0.6891,0.6891,40007747.0250447,0.7134,0.7134,15333028.120995007,0.6879,0.6879,20205161.0415085,0.6934,0.6934,8741609.980697334,0.6729,0.6729,30498334.921423856,0.6977,0.6977,70011184.77645478,-0.0,52397450.731401294,0.4312
4,15450781.618725613,0.7417,0.7417,21545835.81419309,0.6897,0.6897,50047072.583456576,0.7159,0.7159,22480858.473379288,0.6902,0.6902,17748117.343896344,0.6895,0.6895,10963420.936264832,0.6745,0.6745,27466401.902238972,0.7007,0.7007,69243220.70505928,-0.0,41961206.1241267,0.4316
5,70504184.65494366,0.7426,0.7426,83542869.21043144,0.6879,0.6879,133625539.005126,0.7168,0.7168,42693228.181425594,0.6874,0.6874,36578604.69415842,0.6853,0.6853,91822482.05448812,0.6765,0.6765,104175978.44571333,0.7009,0.7009,271973477.5472783,-0.0,285835226.54098475,0.4317
6,114460608.150124,0.7405,0.7405,162373588.0308173,0.6941,0.6941,385159475.86496353,0.7185,0.7185,214294996.74056062,0.6958,0.6958,121983858.78827803,0.6822,0.6822,179534404.93480936,0.6779,0.6779,123792145.10452382,0.7114,0.7114,1010800674.3640057,-0.0,760195517.48563,0.4316
7,295114082.4913326,0.7395,0.7398,514905992.661687,0.7093,0.7093,1415676960.9423664,0.7225,0.7214,1264985120.2789438,0.702,0.7028,661576027.938309,0.6912,0.6896,447606801.2733541,0.6858,0.6857,241761865.42883238,0.7207,0.7185,3360897738.4941764,-0.0,2481584623.766194,0.4312
8,381515142.03553915,0.7343,0.7343,615464182.0774313,0.7126,0.7126,1897280833.2087052,0.7128,0.7128,1929862305.8516784,0.7073,0.7073,891878325.9222487,0.6839,0.6839,529218101.3811798,0.6829,0.6829,253340684.47936782,0.7159,0.7159,4423636576.158402,-0.0,3403363706.913538,0.4312
9,401537637.25244254,0.7307,0.7307,646121775.6511213,0.7044,0.7044,2181802446.619329,0.7055,0.7055,2315856777.907001,0.7037,0.7037,1041638768.71734,0.683,0.683,586239634.741792,0.6755,0.6755,246328200.45702755,0.7152,0.7152,5081076543.636629,-0.0,3936784045.243838,0.4312
