episode,n_steps,mean_clearing_price,std_clearing_price,min_clearing_price,max_clearing_price,mean_demand_mw,mean_rho,agent_RL_Agent_0_total_reward,agent_RL_Agent_0_mean_reward,agent_RL_Agent_0_std_reward,agent_RL_Agent_0_clip_rate,agent_RL_Agent_0_action_entropy,agent_RL_Agent_0_greedy_entropy,agent_RL_Agent_0_mean_bid_price,agent_RL_Agent_0_mean_bid_qty_mw,agent_RL_Agent_1_total_reward,agent_RL_Agent_1_mean_reward,agent_RL_Agent_1_std_reward,agent_RL_Agent_1_clip_rate,agent_RL_Agent_1_action_entropy,agent_RL_Agent_1_greedy_entropy,agent_RL_Agent_1_mean_bid_price,agent_RL_Agent_1_mean_bid_qty_mw,agent_RL_Agent_2_total_reward,agent_RL_Agent_2_mean_reward,agent_RL_Agent_2_std_reward,agent_RL_Agent_2_clip_rate,agent_RL_Agent_2_action_entropy,agent_RL_Agent_2_greedy_entropy,agent_RL_Agent_2_mean_bid_price,agent_RL_Agent_2_mean_bid_qty_mw,agent_RL_Agent_3_total_reward,agent_RL_Agent_3_mean_reward,agent_RL_Agent_3_std_reward,agent_RL_Agent_3_clip_rate,agent_RL_Agent_3_action_entropy,agent_RL_Agent_3_greedy_entropy,agent_RL_Agent_3_mean_bid_price,agent_RL_Agent_3_mean_bid_qty_mw,agent_RL_Agent_4_total_reward,agent_RL_Agent_4_mean_reward,agent_RL_Agent_4_std_reward,agent_RL_Agent_4_clip_rate,agent_RL_Agent_4_action_entropy,agent_RL_Agent_4_greedy_entropy,agent_RL_Agent_4_mean_bid_price,agent_RL_Agent_4_mean_bid_qty_mw,agent_RL_Agent_5_total_reward,agent_RL_Agent_5_mean_reward,agent_RL_Agent_5_std_reward,agent_RL_Agent_5_clip_rate,agent_RL_Agent_5_action_entropy,agent_RL_Agent_5_greedy_entropy,agent_RL_Agent_5_mean_bid_price,agent_RL_Agent_5_mean_bid_qty_mw,agent_RL_Agent_6_total_reward,agent_RL_Agent_6_mean_reward,agent_RL_Agent_6_std_reward,agent_RL_Agent_6_clip_rate,agent_RL_Agent_6_action_entropy,agent_RL_Agent_6_greedy_entropy,agent_RL_Agent_6_mean_bid_price,agent_RL_Agent_6_mean_bid_qty_mw,agent_Cost Plus Markup Baseline Agent_total_reward,agent_Cost Plus Markup Baseline Agent_mean_reward,agent_Cost Plus Markup Baseline Agent_std_reward,agent_Cost Plus Markup Baseline Agent_clip_rate,agent_Cost Plus Markup Baseline Agent_action_entropy,agent_Cost Plus Markup Baseline Agent_mean_bid_price,agent_Cost Plus Markup Baseline Agent_mean_bid_qty_mw,agent_Quantile Baseline Agent_total_reward,agent_Quantile Baseline Agent_mean_reward,agent_Quantile Baseline Agent_std_reward,agent_Quantile Baseline Agent_clip_rate,agent_Quantile Baseline Agent_action_entropy,agent_Quantile Baseline Agent_mean_bid_price,agent_Quantile Baseline Agent_mean_bid_qty_mw
0,335,26.82767497205171,14.465312859409815,-5.69,68.34322422351863,54581.564179104476,0.6921729407866729,79186.54775772145,236.37775450066104,369.7496882294151,0.029850746268656716,0.8003,0.7408,38.73057089552239,20.550373134328357,85132.81685667625,254.12781151246642,337.64737442091194,0.020895522388059702,0.8194,0.737,31.251591417910447,24.41231343283582,92777.14745710984,276.94670882719356,438.371584166212,0.04477611940298507,0.8221,0.7009,46.53013619402986,23.740671641791046,88273.42800410028,263.50277016149334,447.7409513441614,0.026865671641791045,0.7918,0.7057,43.10250932835821,21.949626865671643,90025.6104697026,268.7331655812018,382.05685162255475,0.020895522388059702,0.7803,0.6995,41.358410447761194,23.64738805970149,82296.45165036843,245.66104970259232,364.0846562379134,0.029850746268656716,0.7595,0.7096,45.48984328358209,23.85261194029851,93105.54961197311,277.9270137670839,412.75402106680656,0.029850746268656716,0.7289,0.6701,35.62142910447761,28.255597014925375,127280.17741990098,379.9408281191074,649.4895834159291,0.0,-0.0,33.685,46.875,107588.54348596129,321.159831301377,576.6572422421503,0.14925373134328357,0.4312,69.85205037313433,41.27798507462686
1,335,27.332105003112122,13.89633804571441,-5.69,69.49631551874394,54882.692537313436,0.6897586175787751,88962.18810923751,265.55877047533585,363.21574146877794,0.0,0.7125,0.7103,42.49055037313433,21.184701492537314,93277.00412214994,278.4388182750744,330.8340551671355,0.0,0.755,0.7571,21.66243656716418,23.88992537313433,98603.09085544299,294.3375846431134,416.56221892706674,0.0,0.7223,0.7189,33.64035074626866,24.31902985074627,93937.85436926635,280.41150557989954,456.39716458977426,0.0029850746268656717,0.706,0.7078,44.424098880597015,21.651119402985074,96164.65305661605,287.05866584064495,365.13265998481415,0.011940298507462687,0.6751,0.6748,41.71923320895522,23.85261194029851,85562.90561052234,255.41165853887267,353.87379164252974,0.0,0.711,0.7118,37.87033022388059,25.10261194029851,100914.59259737347,301.2375898429059,422.49471073306347,0.0,0.6773,0.6747,30.8681473880597,29.00186567164179,128143.49237080244,382.5178876740371,631.9886775386109,0.0,-0.0,33.685,46.875,114087.57413109831,340.55992277939794,560.5879882150916,0.14925373134328357,0.4312,69.85205037313433,41.27798507462686
2,335,27.71711930030633,14.747978658919926,-5.69,71.53828004717717,55185.385074626865,0.6851489651627133,89757.2703610387,267.9321503314588,366.0700236504363,0.0,0.7079,0.7079,43.536378731343284,21.53917910447761,94771.14866223301,282.8989512305463,354.3854836009832,0.0,0.7495,0.7513,22.03330597014925,22.938432835820894,103869.88145108905,310.0593476151912,443.67845433795344,0.0,0.7164,0.7164,37.007723880597005,24.89738805970149,98945.95579362722,295.361062070529,479.2516968119359,0.0,0.7033,0.7033,42.975009328358205,22.005597014925375,96389.45782755647,287.72972485837755,387.66124285125187,0.0,0.6791,0.6725,39.73926679104477,24.78544776119403,86727.68163126044,258.8886018843595,383.4064123356134,0.0,0.7102,0.7102,40.00297201492537,24.132462686567163,105013.681302125,313.47367552873135,460.756627301646,0.0,0.6787,0.6787,31.159652985074626,28.16231343283582,150312.09154485766,448.6928105816647,673.4144096173084,0.0,-0.0,33.685,46.875,114067.42291961439,340.4997699092967,594.4773265171784,0.14925373134328357,0.4312,69.85205037313433,41.27798507462686
3,335,28.326628031673707,14.666214327318215,-5.69,73.99624089024961,55438.3223880597,0.6813882724529973,92160.48914836408,275.1059377563107,372.9548262708447,0.0,0.7053,0.7053,38.71269776119403,21.91231343283582,96840.64020829476,289.07653793520825,343.47453508200135,0.0,0.7489,0.7489,21.96345335820895,23.125,112917.81998886197,337.06811936973725,445.35180547982225,0.0,0.7141,0.7141,35.45199067164179,25.438432835820894,105464.82132807528,314.82036217335906,511.8630974199317,0.0,0.7014,0.7014,41.71049626865672,22.34141791044776,104919.01701585157,313.1910955697062,392.0941099493636,0.0,0.671,0.671,40.68902238805969,24.916044776119403,89082.95059393393,265.9192555042804,381.4417282681573,0.0,0.7062,0.7062,37.52193656716418,24.449626865671643,107006.01783221883,319.420948752892,455.05938267411256,0.0,0.6768,0.6768,31.38498507462687,28.53544776119403,142088.30101973077,424.14418214845006,688.6478718856747,0.0,-0.0,33.685,46.875,116966.03728837144,349.1523501145416,624.0820524555512,0.14925373134328357,0.4312,69.85205037313435,41.27798507462686
4,335,28.509878815259967,13.44790894707496,-3.220871238590415,73.39917845659193,56408.05373134329,0.6826149823074554,92311.71286945361,275.55735184911526,368.4466755136169,0.0,0.7046,0.7046,40.99050186567164,22.21082089552239,95515.83343947693,285.12189086411024,341.8548997602047,0.0,0.7547,0.7547,22.062624999999997,22.938432835820894,105290.4929303268,314.2999788964979,443.45492970544973,0.0,0.7204,0.7204,35.94796455223881,25.121268656716417,102275.5411479689,305.3001228297579,480.24517198958455,0.0,0.7029,0.7029,41.56483208955224,21.78171641791045,100352.18277778708,299.55875456055844,387.10799092491936,0.0,0.6709,0.6709,40.702074626865674,25.046641791044777,85154.70076485444,254.1931366115058,386.0757123717843,0.0,0.7095,0.7095,38.734447761194026,24.67350746268657,106303.8237514158,317.3248470191516,453.2364954861151,0.0,0.6748,0.6748,26.897845149253733,29.188432835820894,138605.27137680855,413.74707873674197,669.2446575166227,0.0,-0.0,33.685,46.875,111851.2871384589,333.8844392192803,590.7915078970944,0.14925373134328357,0.4316,69.87476865671643,41.27798507462686
5,335,29.78332536870081,15.024324272616747,-4.224963569058737,92.01342317279203,57018.068656716416,0.6717087800425249,101947.88195879674,304.32203569790073,407.3563558005013,0.0,0.7013,0.7013,42.53384141791045,22.24813432835821,108876.03580332722,325.0030919502305,430.1947921509103,0.0,0.7541,0.7541,22.38116791044776,22.882462686567163,116928.18593859655,349.03936101073595,494.3308149790924,0.0,0.7237,0.7237,35.84930410447762,25.10261194029851,108293.29353784115,323.2635627995258,497.2513285358181,0.0,0.699,0.699,40.73366231343284,21.595149253731343,110093.89025224207,328.6384783649017,421.73043594475246,0.0,0.6694,0.6694,40.69374440298508,24.84141791044776,93601.51406802457,279.40750468067034,420.53390902390686,0.0,0.708,0.708,38.73254291044776,24.67350746268657,121930.83527073714,363.97264259921536,542.9763530674868,0.0,0.6752,0.6752,24.241662313432837,29.207089552238806,163167.0569482063,487.06584163643674,745.3480822817302,0.0,-0.0,33.685,46.875,136092.81170845457,406.2471991297151,651.2735774783021,0.14925373134328357,0.4317,69.88839552238807,41.27798507462686
6,335,32.55070880910532,17.420260600443488,-4.280581508228671,120.26428095702806,57611.14029850746,0.6491738038819683,122071.5778187682,364.3927696082633,478.42799335877635,0.0,0.705,0.705,39.14552985074627,22.378731343283583,127505.4362647661,380.6132425813914,478.0637481914184,0.0,0.7493,0.7493,22.795565298507462,22.65858208955224,149716.9796350503,446.9163571195531,650.1702121521539,0.0,0.7234,0.7234,37.73908955223881,25.867537313432837,139061.69214525868,415.10952879181696,674.1290917638684,0.0,0.7007,0.7007,41.35933208955224,22.39738805970149,123870.73342863351,369.76338336905525,472.9775181345106,0.0,0.6646,0.6646,42.57274067164179,24.636194029850746,109919.28022135337,328.1172543920996,469.13201664297145,0.0,0.7164,0.7164,39.93520708955224,24.020522388059703,131587.10054474432,392.79731505893824,530.5974255191264,0.0,0.6853,0.6853,25.569089552238808,27.75186567164179,207815.86249712668,620.3458582003782,878.9816151365064,0.0,-0.0,33.685,46.875,177359.92429082957,529.4326098233719,801.8800268620929,0.14925373134328357,0.4316,69.87476865671643,41.27798507462686
7,335,37.13133700419395,27.041452741219175,-3.751044055550922,180.21313473610178,58055.62985074627,0.6234367017973227,139037.94390625344,415.03863852612966,507.562591002041,0.0,0.7167,0.7151,36.62008395522388,22.229477611940297,154345.799970252,460.7337312544836,639.1208193550425,0.0,0.756,0.7584,22.866020522388062,22.65858208955224,209012.1294456866,623.9168043154823,1001.8426328728578,0.0,0.7329,0.7329,36.1910802238806,26.296641791044777,203134.1870146805,606.370707506509,1151.2635062722516,0.0,0.7104,0.7104,40.40319776119403,23.53544776119403,158678.91890834982,473.6684146517905,667.8275342793356,0.0,0.6741,0.6725,40.08308955223881,24.486940298507463,138100.6880247668,412.2408597754233,640.8297448624626,0.0,0.7252,0.7252,40.66424440298508,24.020522388059703,153909.03820138375,459.42996478025003,668.3276872980246,0.0,0.6945,0.6922,25.679554104477607,27.28544776119403,287601.0888887603,858.510713100777,1329.6655160800128,0.0,-0.0,33.685,46.875,247408.7987295815,738.5337275509895,1276.1600648147764,0.14925373134328357,0.4312,69.85205037313433,41.27798507462686
8,335,36.29807036825343,26.89733932437434,-3.279823370808403,177.85273728548052,57860.03283582089,0.628737343622952,132447.84391527617,395.36669825455573,503.3479155045354,0.0,0.7176,0.7176,36.93925746268657,21.53917910447761,143928.4267720086,429.6370948418167,628.7894176248607,0.0,0.756,0.756,23.465529850746268,22.24813432835821,211978.10210977864,632.7704540590407,987.7768897054959,0.0,0.7377,0.7377,34.70557089552239,27.005597014925375,214161.90865335264,639.2892795622467,1135.559932852764,0.0,0.7119,0.7119,40.24555037313433,25.23320895522388,159459.05603770772,475.9971822021126,638.8390033906883,0.0,0.6737,0.6737,39.47882276119403,24.28171641791045,134504.76146648108,401.5067506462122,626.6859618032923,0.0,0.7226,0.7226,43.78482649253732,23.59141791044776,143189.02619668274,427.4299289453216,634.8965554296079,0.0,0.697,0.697,25.974231343283584,26.91231343283582,280892.5907333567,838.4853454727066,1305.8765078772365,0.0,-0.0,33.685,46.875,240203.63361690735,717.0257719907682,1258.593724164755,0.14925373134328357,0.4312,69.85205037313433,41.27798507462686
9,335,36.42892193496834,26.96805622278618,-4.608608078733111,173.64066328592364,57444.7671641791,0.6268549018919644,131643.38889353073,392.9653399806888,503.18292204458305,0.0,0.715,0.715,37.389625,21.259328358208954,146776.06903433424,438.1375195054753,628.6225571796009,0.0,0.7492,0.7492,23.33799253731343,22.080223880597014,207277.80926730062,618.7397291561213,981.4965258685277,0.0,0.733,0.733,35.67112873134328,26.725746268656717,213554.472956063,637.476038674815,1130.6781618404575,0.0,0.7053,0.7053,41.062419776119405,24.598880597014926,158770.96080403158,473.94316657919876,649.4234232829656,0.0,0.6687,0.6687,38.27811380597015,24.244402985074625,130938.11412877927,390.86004217546053,623.7713568549838,0.0,0.7145,0.7145,43.019160447761195,23.18097014925373,145649.3747911313,434.77425310785463,640.7473604473455,0.0,0.6963,0.6963,25.98771641791045,26.85634328358209,283834.19436331966,847.266251830805,1304.9044117399335,0.0,-0.0,33.685,46.875,246635.1320089065,736.2242746534523,1251.3310636482904,0.14925373134328357,0.4312,69.85205037313433,41.27798507462686
