episode,agent_RL_Agent_0_rolling_reward_var,agent_RL_Agent_0_entropy,agent_RL_Agent_0_greedy_entropy,agent_RL_Agent_1_rolling_reward_var,agent_RL_Agent_1_entropy,agent_RL_Agent_1_greedy_entropy,agent_RL_Agent_2_rolling_reward_var,agent_RL_Agent_2_entropy,agent_RL_Agent_2_greedy_entropy,agent_RL_Agent_3_rolling_reward_var,agent_RL_Agent_3_entropy,agent_RL_Agent_3_greedy_entropy,agent_RL_Agent_4_rolling_reward_var,agent_RL_Agent_4_entropy,agent_RL_Agent_4_greedy_entropy,agent_RL_Agent_5_rolling_reward_var,agent_RL_Agent_5_entropy,agent_RL_Agent_5_greedy_entropy,agent_RL_Agent_6_rolling_reward_var,agent_RL_Agent_6_entropy,agent_RL_Agent_6_greedy_entropy,agent_Cost Plus Markup Baseline Agent_rolling_reward_var,agent_Cost Plus Markup Baseline Agent_entropy,agent_Quantile Baseline Agent_rolling_reward_var,agent_Quantile Baseline Agent_entropy
0,,0.8003,0.7408,,0.8194,0.737,,0.8221,0.7009,,0.7918,0.7057,,0.7803,0.6995,,0.7595,0.7096,,0.7289,0.6701,,-0.0,,0.4312
1,47781572.14109448,0.7125,0.7103,33163893.107551888,0.755,0.7571,16970808.24029083,0.7223,0.7189,16042863.023194224,0.706,0.7078,18843921.941968486,0.6751,0.6748,5334860.7369025955,0.711,0.7118,30490576.173915282,0.6773,0.6747,372656.3522249969,-0.0,21118699.663215052,0.4312
2,34655912.73760003,0.7079,0.7079,26909615.685961775,0.7495,0.7513,30788241.18669156,0.7164,0.7164,28511609.223549716,0.7033,0.7033,13039489.043839695,0.6791,0.6725,5277037.29930798,0.7102,0.7102,36597880.151208654,0.6787,0.6787,170443528.38395837,-0.0,14035614.018927881,0.4312
3,32688601.80917181,0.7053,0.7053,26292759.9301807,0.7489,0.7489,73096066.59149116,0.7141,0.7141,53498352.90721649,0.7014,0.7014,37453563.4241085,0.671,0.671,7971400.023219814,0.7062,0.7062,37823763.65751421,0.6768,0.6768,125335842.8089983,-0.0,15736549.127862632,0.4312
4,29115027.109110504,0.7046,0.7046,21532108.881258447,0.7547,0.7547,56932610.7786969,0.7204,0.7204,46440703.74495568,0.7029,0.7029,30508771.293911394,0.6709,0.6709,6094921.750043352,0.7095,0.7095,32964048.03241647,0.6748,0.6748,94545891.03758954,-0.0,12154123.969562827,0.4316
5,53542231.51404144,0.7013,0.7013,58666866.951970235,0.7541,0.7541,79325741.16029292,0.7237,0.7237,55575801.54608227,0.699,0.699,50547552.459128596,0.6694,0.6694,15111258.013923433,0.708,0.708,89500142.43530738,0.6752,0.6752,187276047.20691094,-0.0,99280301.05403344,0.4317
6,185026781.53531492,0.705,0.705,193078166.7501513,0.7493,0.7493,350940443.45199734,0.7234,0.7234,269543329.6735493,0.7007,0.7007,125877559.70799701,0.6646,0.6646,87170194.00622164,0.7164,0.7164,170226203.8344359,0.6853,0.6853,782437674.2922968,-0.0,607084841.5550693,0.4316
7,398818700.9658435,0.7167,0.7151,530963747.8266884,0.756,0.7584,1490763918.088199,0.7329,0.7329,1430440919.8021982,0.7104,0.7104,493792761.5904518,0.6741,0.6725,359911601.6229348,0.7252,0.7252,393442073.2655259,0.6945,0.6922,3001132260.326417,-0.0,2380196165.9079924,0.4312
8,461103114.1462055,0.7176,0.7176,615845048.0840503,0.756,0.756,2171497832.362006,0.7377,0.7377,2291452402.057019,0.7119,0.7119,703189568.2749686,0.6737,0.6737,477051854.6492802,0.7226,0.7226,432732745.76431453,0.697,0.697,4038896659.3880863,-0.0,3183270707.92445,0.4312
9,485132506.98679185,0.715,0.715,674463713.2767195,0.7492,0.7492,2475202931.9477596,0.733,0.733,2765861954.408344,0.7053,0.7053,811859158.696888,0.6687,0.6687,516389210.309524,0.7145,0.7145,460511611.50260854,0.6963,0.6963,4654699911.495571,-0.0,3730154200.2248783,0.4312
10,446130203.5606882,0.7178,0.7178,656785547.9468724,0.7479,0.7479,2618675408.604377,0.7301,0.7301,2898799493.3955894,0.7036,0.7036,804855553.2952348,0.6633,0.6633,489399520.42609346,0.7085,0.7085,431158059.04009354,0.6985,0.6985,4658324180.274516,-0.0,3687993062.09533,0.4312
11,421271077.7918104,0.7187,0.7187,638453688.6078839,0.7541,0.7541,2565132001.0206795,0.7327,0.7327,2855085604.6542645,0.7065,0.7065,775915112.1788162,0.6648,0.6648,464973205.9832056,0.7114,0.7114,418819150.64486444,0.6966,0.6966,4524853912.256066,-0.0,3633615320.534625,0.4316
12,393274315.1565066,0.723,0.723,613745591.214336,0.7599,0.7599,2497184228.8028073,0.7409,0.7409,2758896055.305563,0.7127,0.7127,745540823.1342119,0.6734,0.6734,439789332.7316484,0.7181,0.7181,400709732.9047721,0.7099,0.7099,4445523945.603585,-0.0,3508490914.950821,0.4317
13,374429454.0549238,0.7249,0.7249,596872278.8159908,0.7643,0.7643,2418174466.852805,0.7411,0.7411,2677502453.0968943,0.7106,0.7106,716260172.9318877,0.6724,0.6724,426677401.37968147,0.7214,0.7214,403631081.7568511,0.7135,0.7135,4275766291.8488083,-0.0,3448047436.0627804,0.4316
14,295161030.36792886,0.7286,0.7286,503940986.9569226,0.7675,0.7675,2116116469.9665627,0.7439,0.7439,2376799725.9279943,0.7119,0.7119,609876784.4321901,0.676,0.676,370312049.7141825,0.7242,0.7242,327500759.9782833,0.7176,0.7176,3786998652.821536,-0.0,3104661029.0220485,0.4312
15,245410530.12743056,0.7297,0.7297,421199005.7239541,0.7696,0.7696,1777098751.7903771,0.7481,0.7481,2045753513.5546696,0.7111,0.7111,508753407.3659242,0.6852,0.6852,318040705.8198691,0.729,0.729,261989790.40058228,0.724,0.724,3139790480.629148,-0.0,2713044966.643886,0.4312
16,190358161.83802652,0.7304,0.7304,326919921.26137537,0.7708,0.7708,1425770427.8374903,0.7456,0.7456,1668974675.2050319,0.7065,0.7065,392355507.2223464,0.6841,0.6841,260527763.13124448,0.7273,0.7273,198864229.30180344,0.7212,0.7212,2641534590.9809794,-0.0,2183119787.690689,0.4312
17,138657071.8765806,0.7304,0.7304,232687868.5993203,0.7713,0.7713,1116212857.899471,0.7448,0.7448,1298980637.885961,0.705,0.705,310803227.5284423,0.6844,0.6844,205228599.62922633,0.7248,0.7248,139701304.3620268,0.7232,0.7232,1940514478.7201462,-0.0,1603147108.7203724,0.4312
18,76531297.5826424,0.727,0.727,108597063.94103923,0.7641,0.7641,648243544.0175434,0.736,0.736,812148073.0410554,0.6966,0.6966,181037437.59298122,0.6788,0.6788,118043345.55284733,0.7233,0.7233,59084926.04735081,0.7227,0.7227,1028920753.4750199,-0.0,827137144.9769862,0.4316
19,74680729.69314064,0.7241,0.7241,72215918.63511148,0.7572,0.7572,295706501.2737884,0.737,0.737,350533757.94408107,0.6946,0.6946,126281954.65217,0.6688,0.6688,78995409.86594115,0.7196,0.7196,66524432.88932681,0.721,0.721,514703048.51450866,-0.0,379621218.75133574,0.4317
20,170666200.2786415,0.72,0.72,138851278.94836834,0.7612,0.7612,372388951.4042932,0.7308,0.7308,339124151.63151014,0.697,0.697,187787634.66482654,0.6787,0.6787,129746083.47473127,0.7129,0.7129,117353306.16297889,0.7073,0.7073,837847942.7315116,-0.0,675035328.791074,0.4316
21,345556010.35627526,0.7119,0.7119,424604638.1841229,0.7473,0.7473,1346813937.0543184,0.721,0.721,1319925441.1964688,0.6904,0.6904,558267516.3216348,0.6757,0.6757,366335755.9333951,0.6928,0.6928,357438495.56827915,0.6941,0.6941,2742045199.702662,-0.0,2182647541.1519947,0.4312
22,471020815.6371547,0.6968,0.6968,697326994.8979244,0.7287,0.7287,2230966753.3280516,0.6954,0.6954,2350343780.164822,0.673,0.673,901674297.4785374,0.6668,0.6668,562777672.0423108,0.6685,0.6685,587176237.5805049,0.6706,0.6706,4498668995.910621,-0.0,3546094977.220207,0.4312
23,548816140.1533164,0.6937,0.6937,887678377.4131125,0.7258,0.7258,2877495652.1713405,0.693,0.693,3100749077.181252,0.6719,0.6719,1150489686.0324557,0.6758,0.6758,664919484.092428,0.6671,0.6671,717934883.6396822,0.6669,0.6669,5918746439.316056,-0.0,4651936493.286229,0.4312
24,698689276.8637826,0.6813,0.6813,1117512387.3494027,0.7216,0.7216,3445412954.0486774,0.6895,0.6895,3839197442.050786,0.6642,0.6642,1443555553.4051733,0.6825,0.6825,839904631.2995867,0.6658,0.6658,890009221.7104272,0.6657,0.6657,7221410664.519253,-0.0,5830422953.446956,0.4312
25,780838698.5230403,0.6759,0.6759,1272036749.9309351,0.7177,0.7177,3897178033.6329374,0.6877,0.6877,4368415021.306303,0.6609,0.6609,1674098271.4321558,0.6841,0.6841,935452583.7214726,0.661,0.661,1020154730.255203,0.6672,0.6672,8227414417.303234,-0.0,6697892738.7275095,0.4316
26,837239433.7841935,0.6726,0.6726,1354729047.798865,0.7179,0.7179,4096483284.038514,0.6835,0.6835,4720533924.69319,0.6724,0.6724,1783215654.5844522,0.6788,0.6788,977058923.6325843,0.6595,0.6595,1117745741.6865587,0.6614,0.6614,8746500472.512863,-0.0,7297799073.329662,0.4317
27,860238686.5511378,0.6732,0.6732,1387554798.2422216,0.7168,0.7168,4115568213.9295473,0.6867,0.6867,4756294959.615736,0.6727,0.6727,1826355439.697217,0.6766,0.6766,948126336.7984295,0.6571,0.6571,1133608712.4666324,0.6682,0.6682,8962949925.769726,-0.0,7379569590.820405,0.4316
28,829900383.5585651,0.6696,0.6696,1317642681.112435,0.7089,0.7089,3983344467.742335,0.6768,0.6768,4626532189.548796,0.6622,0.6622,1770663589.3201435,0.6674,0.6674,907866203.619942,0.646,0.646,1089222115.2244492,0.6661,0.6661,8649940587.189646,-0.0,7073385052.214062,0.4312
29,757738806.7781264,0.6775,0.6775,1208764175.8987505,0.7137,0.7137,3719050599.3511105,0.6831,0.6831,4265358928.4928355,0.6649,0.6649,1674980358.905225,0.672,0.672,821771739.0206437,0.6512,0.6512,1011612813.4347566,0.6696,0.6696,7911257325.169801,-0.0,6440727966.709143,0.4312
30,660322928.3333701,0.6709,0.6709,1063598836.4969366,0.7167,0.7167,3241629240.772306,0.6853,0.6853,3715022921.4679127,0.6711,0.6711,1453634024.7686627,0.6715,0.6715,705258251.127904,0.6515,0.6515,890830303.0082682,0.673,0.673,6888558497.795624,-0.0,5548399445.673046,0.4312
31,459106190.16036063,0.6866,0.6866,763858702.1744328,0.7275,0.7275,2385971601.9895544,0.7005,0.7005,2836170102.2610044,0.6797,0.6797,1056349576.3349527,0.6759,0.6759,500759182.7725507,0.6706,0.6706,637071353.1660149,0.6831,0.6831,5067530526.315341,-0.0,4119838998.804204,0.4312
